Epic Rap Battles of History;ERB
How It Should Have Ended;HISHE
Lois & Clark - The New Adventures of Superman;Lois & Clark (TNAoS)
Marvel's Agents of S.H.I.E.L.D.;Agents Of S.H.I.E.L.D. 
Terminator: The Sarah Connor Chronicles;Terminator (TSCC)
The Adventures of Superboy; Superboy (TAO)
The Crow: Stairway to Heaven;The Crow (Stairway to Heaven)
The Adventures of Young Indiana Jones;Young Indiana Jones
Funny or Die Presents;FODP
It's Always Sunny in Philadelphia; It's Always Sunny
Friday the 13th: The Series;Friday The 13th
From Dusk Till Dawn: The Series;From Dusk Till Dawn
Insane Coaster Wars: World Domination;Insane Coaster Wars
LOLwork;LOLwork
Sex Sent Me to the ER;Sex Sent Me To The ER
How I Met Your Mother;HIMYM
NewsRadio;NewsRadio
$#*! My Dad Says;Shit My Dad Says
The Drunk and on Drugs Happy Funtime Hour;TDAODHFH
Don't Trust the B---- in Apartment 23;Don't Trust The B
Tyler Perry's House of Payne;House of Payne
Little Women: LA;Little Women (LA)
The New Adventures of Old Christine;TNAOOChristine
Mystery Science Theater 3000;MST3K
Mako Mermaids: An H2O Adventure;Mako Mermaids
Kyle XY;Kyle XY
Breaking the Magician's Code: Magic's Biggest Secrets Finally Revealed;Breaking The Magician's Code
Harvey Birdman, Attorney at Law;Harvey Birdman
Police Academy: The Animated Series;Police Academy (TAS)
H2O: Just Add Water;H2O - Just Add Water
Disney's Adventures of the Gummi Bears;Gummi Bears
Bill & Ted's Excellent Adventures;Bill & Ted
Transformers: Super-God Masterforce;Transformers (SGM)
Captain Power and the Soldiers of the Future;Captain Power (ATSOTF)
I Can't Understand What My Husband Is Saying;I Can't Understand
NTSF:SD:SUV::;NTSF-SD-SUV
Pretty Guardian Sailor Moon: The Live Action Series;Sailor Moon (Live Action)
WKRP in Cincinnati;WKRP In Cincinnati
Batman: The Brave and the Bold;Batman (TBATB)
CSI: Cyber;CSI - Cyber
Teenage Mutant Ninja Turtles (2012);TMNT (2012)
The Meltdown with Jonah and Kumail;Meltdown
iZombie;iZombie
APB;APB
Camp WWE;Camp WWE
Rock School;Gene Simons Rock School
The OA;The OA
Taskmaster (US);Taskmaster (US)
The End of the F***ing World;End of The Fucking World, The
The IT Crowd;The IT Crowd
Battlestar Galactica;Battlestar Galactica (TOS)
