-= Coming of Age Films;
Du er ikke alene AKA You Are Not Alone [1978];[Coming of Age]
En tu ausencia AKA In Your Absence [2008];[Coming of Age]
Jet Boy AKA Moments [2001];[Coming of Age]
10 1/2 AKA Dix et demi [2010];[Coming of Age]
The Abduction of Zack Butterfield [2011];[Coming of Age]
Toast [2010];[Coming of Age]
Angyali üdvözlet AKA The Annunciation [1984];[Coming of Age]
Stand by Me [1986];[Coming of Age]
The Art of Getting By [2011];[Coming of Age]
That's What I Am [2011];[Coming of Age]
Wenecja AKA Venice [2010];[Coming of Age]
Sciuscià AKA Shoeshine [1946];[Coming of Age]
Tom Brown's School Days [1940];[Coming of Age]
I Am Gabriel [2012];[Coming of Age]
This Is England [2006];[Coming of Age]
Le chiavi di casa AKA The Keys to the House [2004];[Coming of Age]
The Good Son [1993];[Coming of Age]
The Boy with Green Hair [1948];[Coming of Age]
Vor AKA The Thief [1997];[Coming of Age]
Bad News Bears [2005];[Coming of Age]
When Andrew Came Home AKA Taming Andrew [2000];[Coming of Age]
Temporada de patos AKA Duck Season [2004];[Coming of Age]
The Heart Is Deceitful Above All Things [2004];[Coming of Age]
The Cure [1995];[Coming of Age]
Twelve and Holding [2005];[Coming of Age]
Toto le Héros AKA Toto the Hero [1991];[Coming of Age]
Tout contre Léo AKA Close to Leo [2002];[Coming of Age]
La Teta i la Lluna AKA Teté & the Moon AKA The Tit and the Moon [1994];[Coming of Age]
Les quatre cents coups AKA The 400 Blows [1959];[Coming of Age]
The Spanish Gardener [1956];[Coming of Age]
The Champ [1979];[Coming of Age]
The Interrogation of Michael Crowe [2002];[Coming of Age]
The Browning Version [1994];[Coming of Age]
The Mighty [1998];[Coming of Age]
Les choristes AKA The Chorus [2004];[Coming of Age]
The Dangerous Lives of Altar Boys [2002];[Coming of Age]
L'Enfant Sauvage AKA The Wild Child [1970];[Coming of Age]
A Oitava Cor do Arco-íris AKA The Eighth Color of the Rainbow [2004];[Coming of Age]
Teenage Paparazzo [2010];[Coming of Age]
The Maldonado Miracle [2003];[Coming of Age]
The Gate [1987];[Coming of Age]
The Kite Runner [2007];[Coming of Age]
The Story of Net [2010];[Coming of Age]
The Man Without a Face [1993];[Coming of Age]
Tomboy [2011];[Coming of Age]
La ville dont le prince est un enfant AKA The Fire That Burns [1997];[Coming of Age]
The NeverEnding Story [1984];[Coming of Age]
The Number 23 [2007];[Coming of Age]
Vozvrashchenie AKA The Return [2003];[Coming of Age]
Trevor [1994];[Coming of Age]
The Seeker: The Dark Is Rising [2007];[Coming of Age]
The Spiderwick Chronicles [2008];[Coming of Age]
The Learning Tree [1969];[Coming of Age]
The Squid and the Whale [2005];[Coming of Age]
The Emerald Forest [1985];[Coming of Age]
De aanslag AKA The Assault [1986];[Coming of Age]
The Fruit Machine AKA Wonderland [1988];[Coming of Age]
Dom za vesanje AKA Time of the Gypsies [1988];[Coming of Age]
Die Blechtrommel AKA The Tin Drum [1979];[Coming of Age]
Tendres cousines AKA Cousins in Love [1980];[Coming of Age]
