'Breaker' Morant [1980];[Based on A True Story]
10 Days to War [2008];[Based on A True Story]
10 Rillington Place [1971];[Based on A True Story]
100 metros [2016];[Based on A True Story]
100 Meters [2016];[Based on A True Story]
1000 to 1: The Cory Weissman Story [2014];[Based on A True Story]
11.6 [2013];[Based on A True Story]
12 Days of Terror [2004];[Based on A True Story]
12 O'Clock High [1967];[Based on A True Story]
12 Years a Slave [2013];[Based on A True Story]
127 Hours [2010];[Based on A True Story]
13 Hours: The Secret Soldiers of Benghazi [2016];[Based on A True Story]
1492: Conquest of Paradise [1992];[Based on A True Story]
17 Miracles [2011];[Based on A True Story]
17 filles [2011];[Based on A True Story]
17 Girls [2011];[Based on A True Story]
180° South [2010];[Based on A True Story]
20 Years of Madness [2015];[Based on A True Story]
21 Hours at Munich [1976];[Based on A True Story]
21 [2008];[Based on A True Story]
22 July [2018];[Based on A True Story]
23 - Nichts ist so wie es scheint [1998];[Based on A True Story]
23 [1998];[Based on A True Story]
23 Blast [2014];[Based on A True Story]
24 Hour Party People [2002];[Based on A True Story]
24 Hour Party People: The Factory Records Saga [2002];[Based on A True Story]
29th Street [1991];[Based on A True Story]
3 1/2 Minutes, Ten Bullets [2015];[Based on A True Story]
3 Tage in Quiberon [2018];[Based on A True Story]
3 Days in Quiberon [2018];[Based on A True Story]
30 for 30 - Big Shot [2013];[Based on A True Story]
3096 Tage [2013];[Based on A True Story]
3096 Days [2013];[Based on A True Story]
36 Quai des Orfèvres [2004];[Based on A True Story]
Department 36 [2004];[Based on A True Story]
41 [2007];[Based on A True Story]
41 [2012];[Based on A True Story]
42 [2013];[Based on A True Story]
42 to 1 [2018];[Based on A True Story]
44 Minutes: The North Hollywood Shoot-Out [2003];[Based on A True Story]
50 to 1 [2014];[Based on A True Story]
50/50 [2011];[Based on A True Story]
55 Days at Peking [1963];[Based on A True Story]
6 Below: Miracle on the Mountain [2017];[Based on A True Story]
61[2001];[Based on A True Story]
8 Mile [2002];[Based on A True Story]
8 Seconds [1994];[Based on A True Story]
84 Charing Cross Road [1987];[Based on A True Story]
90 Minutes in Heaven [2015];[Based on A True Story]
99 Homes [2014];[Based on A True Story]
A Bear Named Winnie [2004];[Based on A True Story]
A Beautiful Day in the Neighborhood [2019];[Based on A True Story]
A Beautiful Mind [2001];[Based on A True Story]
A Brave Heart: The Lizzie Velasquez Story [2015];[Based on A True Story]
A Bridge Too Far [1977];[Based on A True Story]
A Bronx Tale [1993];[Based on A True Story]
A Brother's Promise: The Dan Jansen Story [1996];[Based on A True Story]
A Civil Action [1998];[Based on A True Story]
A Dog Year [2009];[Based on A True Story]
A Dry White Season [1989];[Based on A True Story]
A Few Good Men [1992];[Based on A True Story]
A Girl Like Me: The Gwen Araujo Story [2006];[Based on A True Story]
A Hidden Life [2019];[Based on A True Story]
A Home of Our Own [1993];[Based on A True Story]
A Killer Among Friends [1992];[Based on A True Story]
A League of Their Own [1992];[Based on A True Story]
A Little Chaos [2014];[Based on A True Story]
A Man for All Seasons [1966];[Based on A True Story]
A Man for All Seasons [1988];[Based on A True Story]
A Matter of Justice [1993];[Based on A True Story]
A Mighty Heart [2007];[Based on A True Story]
A Month in the Country [1987];[Based on A True Story]
A Most Wanted Man [2014];[Based on A True Story]
A Mother's Courage: The Mary Thomas Story [1989];[Based on A True Story]
A Prairie Home Companion [2006];[Based on A True Story]
A Quiet Passion [2016];[Based on A True Story]
A River Runs Through It [1992];[Based on A True Story]
A Rumor of War [1980];[Based on A True Story]
A Son's Promise [1990];[Based on A True Story]
A Tale of Love and Darkness [2015];[Based on A True Story]
A Town Torn Apart [1992];[Based on A True Story]
A United Kingdom [2016];[Based on A True Story]
A Very English Scandal [2018];[Based on A True Story]
A Walk in the Woods [2015];[Based on A True Story]
A War Story [1981];[Based on A True Story]
A Woman Called Golda [1982];[Based on A True Story]
A-i-deul... [2011];[Based on A True Story]
Children... [2011];[Based on A True Story]
Abducted: The Carlina White Story [2012];[Based on A True Story]
Accident on Hill Road [2010];[Based on A True Story]
Adrift [2018];[Based on A True Story]
Afterburn [1992];[Based on A True Story]
Aftermath [2017];[Based on A True Story]
Against the Ropes [2004];[Based on A True Story]
Agora [2009];[Based on A True Story]
Ai no korîda [1976];[Based on A True Story]
In The Realm of the Senses [1976];[Based on A True Story]
Alcatraz: The Whole Shocking Story [1980];[Based on A True Story]
Alexander [2004];[Based on A True Story]
Ali [2001];[Based on A True Story]
Ali the Fighter [1975];[Based on A True Story]
Alien Thunder [1974];[Based on A True Story]
Dan Candy's Law [1974];[Based on A True Story]
Alive [1993];[Based on A True Story]
All Eyez on Me [2017];[Based on A True Story]
All or Nothing: A Season with the Los Angeles Rams;[Based on A True Story]
All the Money in the World [2017];[Based on A True Story]
All the President's Men [1976];[Based on A True Story]
All the Way [2016];[Based on A True Story]
Allied [2016];[Based on A True Story]
Almost Famous [2000];[Based on A True Story]
Alpha Dog [2006];[Based on A True Story]
Altamira [2016];[Based on A True Story]
Finding Altamira [2016];[Based on A True Story]
Amadeus [1984];[Based on A True Story]
Amanda Knox: Murder on Trial in Italy [2011];[Based on A True Story]
Ambrose Bierce: Civil War Stories [2006];[Based on A True Story]
America's Super Spy, Operation Mincemeat, Operation Moses;[Based on A True Story]
American Crime Story;[Based on A True Story]
American Experience;[Based on A True Story]
American Gangster [2007];[Based on A True Story]
American Geisha [1986];[Based on A True Story]
American Hustle [2013];[Based on A True Story]
American Made [2017];[Based on A True Story]
American Masters;[Based on A True Story]
American Playboy: The Hugh Hefner Story;[Based on A True Story]
American Prophet [2016];[Based on A True Story]
American Revolutionary: The Evolution of Grace Lee Boggs [2013];[Based on A True Story]
American Sniper [2014];[Based on A True Story]
American Violet [2008];[Based on A True Story]
Amistad [1997];[Based on A True Story]
Amy [2015];[Based on A True Story]
An American Crime [2007];[Based on A True Story]
Anastasia [1956];[Based on A True Story]
Anastasia [1997];[Based on A True Story]
Anatomy of a Murder [1959];[Based on A True Story]
And Starring Pancho Villa as Himself [2003];[Based on A True Story]
And the Band Played On [1993];[Based on A True Story]
Andrey Rublyov [1966];[Based on A True Story]
Andrei Rublev [1966];[Based on A True Story]
Angie X [2017];[Based on A True Story]
MDMA [2017];[Based on A True Story]
Angst [1983];[Based on A True Story]
Animal Kingdom [2010];[Based on A True Story]
Anna and the King [1999];[Based on A True Story]
Anne Frank: The Whole Story [2001];[Based on A True Story]
Another Country [1984];[Based on A True Story]
Anthropoid [2016];[Based on A True Story]
Antony and Cleopatra [1972];[Based on A True Story]
Antwone Fisher [2002];[Based on A True Story]
Any Given Sunday [1999];[Based on A True Story]
Apollo 13 [1995];[Based on A True Story]
Apprentice to Murder [1988];[Based on A True Story]
Appropriate Adult [2011];[Based on A True Story]
Aquí no ha pasado nada [2016];[Based on A True Story]
Much Ado About Nothing [2016];[Based on A True Story]
Argo [2012];[Based on A True Story]
Asia Brief [2011];[Based on A True Story]
Assalto ao Banco Central [2011];[Based on A True Story]
Federal Bank Heist [2011];[Based on A True Story]
At Close Range [1986];[Based on A True Story]
At Eternity's Gate [2018];[Based on A True Story]
Attica [1980];[Based on A True Story]
Attila [2001];[Based on A True Story]
Au revoir les enfants [1987];[Based on A True Story]
Goodbye, Children [1987];[Based on A True Story]
Aurore [2005];[Based on A True Story]
Auschwitz [2011];[Based on A True Story]
Auschwitz [2015];[Based on A True Story]
Awakenings [1990];[Based on A True Story]
BB King: The Life of Riley [2012];[Based on A True Story]
Baat Bou Bun;[Based on A True Story]
Backbeat [1994];[Based on A True Story]
Badlands [1973];[Based on A True Story]
Bagpipe: Instrument of War - Part 1 [1998];[Based on A True Story]
Bajirao Mastani [2015];[Based on A True Story]
Balibo [2009];[Based on A True Story]
Ballon [2018];[Based on A True Story]
Balto [1995];[Based on A True Story]
Band of Brothers [2001];[Based on A True Story]
Barbara [2017];[Based on A True Story]
Barnum [1986];[Based on A True Story]
Barnum! [1986];[Based on A True Story]
Barry [2016];[Based on A True Story]
Baseball's Last Hero: 21 Clemente Stories [2013];[Based on A True Story]
Basquiat [1996];[Based on A True Story]
Bastard Out of Carolina [1996];[Based on A True Story]
Battle for Haditha [2007];[Based on A True Story]
Battle of Britain [1969];[Based on A True Story]
Battle of the Sexes [2017];[Based on A True Story]
Bawandar [2000];[Based on A True Story]
Be Here Now [2015];[Based on A True Story]
Beau Brummell [1954];[Based on A True Story]
Beautiful & Twisted [2015];[Based on A True Story]
The Novack Murders [2015];[Based on A True Story]
Beautiful Boy [2018];[Based on A True Story]
Beautiful Young Minds [2007];[Based on A True Story]
Becket [1964];[Based on A True Story]
Becoming Mike Nichols [2016];[Based on A True Story]
Behind Enemy Lines [2001];[Based on A True Story]
Being Canadian [2015];[Based on A True Story]
Bell Witch Haunting [2004];[Based on A True Story]
Belle [2013];[Based on A True Story]
Beneath Hill 60 [2010];[Based on A True Story]
Benedict Arnold: A Question of Honor [2003];[Based on A True Story]
Berlin Tunnel 21 [1981];[Based on A True Story]
Bernie [2011];[Based on A True Story]
Bessie [2015];[Based on A True Story]
Bethune [1977];[Based on A True Story]
Bethune: The Making of a Hero [1990];[Based on A True Story]
Beyond the Mat [1999];[Based on A True Story]
Beyond the Sea [2004];[Based on A True Story]
Bienvenue à Marly-Gomont [2016];[Based on A True Story]
The African Doctor [2016];[Based on A True Story]
Big Eyes [2014];[Based on A True Story]
Big Miracle [2012];[Based on A True Story]
Bigger [2018];[Based on A True Story]
Billionaire Boys Club [2018];[Based on A True Story]
Billions;[Based on A True Story]
Billy Bathgate [1991];[Based on A True Story]
Bingo: O Rei das Manhãs [2017];[Based on A True Story]
Bingo: The King of the Mornings [2017];[Based on A True Story]
Bird [1988];[Based on A True Story]
Birdman of Alcatraz [1962];[Based on A True Story]
Birdsong [2012];[Based on A True Story]
Birkebeinerne [2016];[Based on A True Story]
The Last King [2016];[Based on A True Story]
Bitter Harvest [2017];[Based on A True Story]
Biutiful [2010];[Based on A True Story]
BlacKkKlansman [2018];[Based on A True Story]
Black Klansman [2018];[Based on A True Story]
Black Gold [2011];[Based on A True Story]
Day of the Falcon [2011];[Based on A True Story]
Black Hawk Down [2001];[Based on A True Story]
Black Mass [2015];[Based on A True Story]
Black or White [2014];[Based on A True Story]
Blackfish [2013];[Based on A True Story]
Blackout [2007];[Based on A True Story]
Blackthorn [2011];[Based on A True Story]
Bleed for This [2016];[Based on A True Story]
Blessed Is the Match: The Life and Death of Hannah Senesh [2008];[Based on A True Story]
Blind Faith [1990];[Based on A True Story]
Blindsight [2006];[Based on A True Story]
Blonde [2001];[Based on A True Story]
Blood Diamond [2006];[Based on A True Story]
Blood Feud [1983];[Based on A True Story]
Bloody Sunday [2002];[Based on A True Story]
Blow [2001];[Based on A True Story]
Bobby Jones: Stroke of Genius [2004];[Based on A True Story]
Bobby [2006];[Based on A True Story]
Bohemian Rhapsody [2018];[Based on A True Story]
Bomb City [2017];[Based on A True Story]
Bombshell [2019];[Based on A True Story]
Bonnie and Clyde [1967];[Based on A True Story]
Bonnie and Clyde [2013];[Based on A True Story]
Borderland [2007];[Based on A True Story]
Bordertown [2006];[Based on A True Story]
Borg McEnroe [2017];[Based on A True Story]
Borg vs. McEnroe [2017];[Based on A True Story]
Born Free [1966];[Based on A True Story]
Born on the Fourth of July [1989];[Based on A True Story]
Born to Run;[Based on A True Story]
Bottle Shock [2008];[Based on A True Story]
Boy A [2007];[Based on A True Story]
Boys Don't Cry [1999];[Based on A True Story]
Boże Ciało [2019];[Based on A True Story]
Corpus Christi [2019];[Based on A True Story]
Brand: A Second Coming [2015];[Based on A True Story]
Braveheart [1995];[Based on A True Story]
Breach [2007];[Based on A True Story]
Breaker Morant [1980];[Based on A True Story]
Breaker: Morant [1980];[Based on A True Story]
Breakthrough;[Based on A True Story]
Brian Wilson: I Just Wasn't Made for These Times [1995];[Based on A True Story]
Brian's Song [1971];[Based on A True Story]
Bridge of Spies [2015];[Based on A True Story]
Bright Lights: Starring Carrie Fisher and Debbie Reynolds [2016];[Based on A True Story]
Bright Star [2009];[Based on A True Story]
Bristol Boys [2006];[Based on A True Story]
Britney Ever After [2017];[Based on A True Story]
Bronenosets Potyomkin [1925];[Based on A True Story]
Battleship Potemkin [1925];[Based on A True Story]
Bronson [2008];[Based on A True Story]
Brother's War [2009];[Based on A True Story]
Brothers on the Line [2012];[Based on A True Story]
Brubaker [1980];[Based on A True Story]
Bruce Lee [2010];[Based on A True Story]
Bruce Lee, My Brother [2010];[Based on A True Story]
Bruce Springsteen: The Complete Video Anthology 1978-2000 [2001];[Based on A True Story]
Brute Force [1947];[Based on A True Story]
Buck [2011];[Based on A True Story]
Buena Vista Social Club: Adios [2017];[Based on A True Story]
Buffalo Bill and the Indians [1976];[Based on A True Story]
Sitting Bull's History Lesson [1976];[Based on A True Story]
Buffalo Girls [1995];[Based on A True Story]
Bugsy [1991];[Based on A True Story]
Bully [2001];[Based on A True Story]
Burden [2016];[Based on A True Story]
Buster [1988];[Based on A True Story]
Butch Cassidy and the Sundance Kid [1969];[Based on A True Story]
Cabiria [1914];[Based on A True Story]
Cadillac Records [2008];[Based on A True Story]
Calendar Girl, Cop, Killer? The Bambi Bembenek Story [1992];[Based on A True Story]
The Heart of the Lie [1992];[Based on A True Story]
Call Girl [2012];[Based on A True Story]
Call Northside 777 [1948];[Based on A True Story]
Call the Midwife;[Based on A True Story]
Callas Forever [2002];[Based on A True Story]
Can You Ever Forgive Me? [2018];[Based on A True Story]
Canoe Man [2010];[Based on A True Story]
Cantinflas [2014];[Based on A True Story]
Capote [2005];[Based on A True Story]
Captain Phillips [2013];[Based on A True Story]
Captive [2012];[Based on A True Story]
Captive [2015];[Based on A True Story]
Carbine Williams [1952];[Based on A True Story]
Carpenters: Close to You [1970];[Based on A True Story]
Carrington [1995];[Based on A True Story]
Cartel Land [2015];[Based on A True Story]
Casino Jack [2010];[Based on A True Story]
Casino [1995];[Based on A True Story]
Cass [2008];[Based on A True Story]
Casualties of War [1989];[Based on A True Story]
Catch Me If You Can [2002];[Based on A True Story]
Catch a Fire [2006];[Based on A True Story]
Catching the Sun [2015];[Based on A True Story]
Catherine the Great [1995];[Based on A True Story]
Catherine the Great [2005];[Based on A True Story]
Cave of Forgotten Dreams [2010];[Based on A True Story]
Cesar Chavez [2014];[Based on A True Story]
Chameleon [2015];[Based on A True Story]
