DuckTales: The Movie - Treasure of the Lost Lamp [1990];[Direct To Video]
The Return of Jafar [1994];[Direct To Video]
Gargoyles: The Movie - The Heroes Awaken [1994];[Direct To Video]
Aladdin and the King of Thieves [1995];[Direct To Video]
A Goofy Movie [1995];[Direct To Video]
Beauty and the Beast: The Enchanted Christmas [1997];[Direct To Video]
Pooh's Grand Adventure: The Search for Christopher Robin [1997];[Direct To Video]
The Lion King II: Simba's Pride [1998];[Direct To Video]
Pocahontas II: Journey to a New World [1998];[Direct To Video]
Belle's Magical World [1998];[Direct To Video]
Mickey's Once Upon a Christmas [1999];[Direct To Video]
Winnie the Pooh: Seasons of Giving [1999];[Direct To Video]
Doug's 1st Movie [1999];[Direct To Video]
Hercules: Zero to Hero [1999];[Direct To Video]
The Tigger Movie [2000];[Direct To Video]
Buzz Lightyear of Star Command: The Adventure Begins [2000];[Direct To Video]
The Little Mermaid II: Return to the Sea [2000];[Direct To Video]
An Extremely Goofy Movie [2000];[Direct To Video]
Recess: School's Out [2001];[Direct To Video]
Mickey's Magical Christmas: Snowed in at the House of Mouse [2001];[Direct To Video]
Lady and the Tramp II: Scamp's Adventure [2001];[Direct To Video]
Mickey's House of Villains [2001];[Direct To Video]
Recess Christmas: Miracle on Third Street [2001];[Direct To Video]
Cinderella II: Dreams Come True [2002];[Direct To Video]
Winnie the Pooh: A Very Merry Pooh Year [2002];[Direct To Video]
Return to Never Land [2002];[Direct To Video]
Tarzan & Jane [2002];[Direct To Video]
The Hunchback of Notre Dame II [2002];[Direct To Video]
The Jungle Book 2 [2003];[Direct To Video]
Stitch! The Movie [2003];[Direct To Video]
101 Dalmatians II: Patch's London Adventure [2003];[Direct To Video]
Piglet's Big Movie [2003];[Direct To Video]
Atlantis: Milo's Return [2003];[Direct To Video]
Recess: Taking the Fifth Grade [2003];[Direct To Video]
Recess: All Growed Down [2003];[Direct To Video]
The Lion King 1½ [2004];[Direct To Video]
Mulan II [2004];[Direct To Video]
Mickey's Twice Upon a Christmas [2004];[Direct To Video]
Teacher's Pet [2004];[Direct To Video]
Mickey, Donald, Goofy: The Three Musketeers [2004];[Direct To Video]
Winnie the Pooh: Springtime with Roo [2004];[Direct To Video]
Pooh's Heffalump Movie [2005];[Direct To Video]
Tarzan II [2005];[Direct To Video]
Lilo & Stitch 2: Stitch Has a Glitch [2005];[Direct To Video]
The Emperor's New Groove 2: Kronk's New Groove [2005];[Direct To Video]
Pooh's Heffalump Halloween Movie [2005];[Direct To Video]
Bambi II [2006];[Direct To Video]
Brother Bear 2 [2006];[Direct To Video]
The Fox and the Hound 2 [2006];[Direct To Video]
Leroy & Stitch [2006];[Direct To Video]
Cinderella III: A Twist in Time [2007];[Direct To Video]
Disney Princess Enchanted Tales: Follow Your Dreams [2007];[Direct To Video]
Tinker Bell [2008];[Direct To Video]
The Little Mermaid: Ariel's Beginning [2008];[Direct To Video]
Tinker Bell and the Lost Treasure [2009];[Direct To Video]
Tinker Bell and the Great Fairy Rescue [2010];[Direct To Video]
Pixie Hollow Games [2011];[Direct To Video]
