Gulliver's Travels [2010];[Adventure]
A History of Violence [2005];[Animation]/[Comics]/[DC]/
All-Star Superman [2011];[Animation]/[Comics]/[DC]/
Alyas Batman en Robin [1991];[Animation]/[Comics]/[DC]/
Aquaman [2006];[Animation]/[Comics]/[DC]/
Atom Man vs. Superman [1950];[Animation]/[Comics]/[DC]/
Batman & Mr. Freeze: SubZero [1998];[Animation]/[Comics]/[DC]/
Batman and Robin [1949];[Animation]/[Comics]/[DC]/
Batman Beyond: Return of the Joker [2000];[Animation]/[Comics]/[DC]/
Batman Dracula [1964];[Animation]/[Comics]/[DC]/
Batman Unmasked: The Psychology of the Dark Knight [2008];[Animation]/[Comics]/[DC]/
Batman: Assault on Arkham [2014];[Animation]/[Comics]/[DC]/
Batman: Dead End [2003];[Animation]/[Comics]/[DC]/
Batman: Gotham Knight [2008];[Animation]/[Comics]/[DC]/
Batman: Mask of the Phantasm [1993];[Animation]/[Comics]/[DC]/
Batman: Mystery of the Batwoman [2003];[Animation]/[Comics]/[DC]/
Batman: The Dark Knight Returns [2013];[Animation]/[Comics]/[DC]/
Batman: The Dark Knight Returns, Part 1 [2012];[Animation]/[Comics]/[DC]/
Batman: The Dark Knight Returns, Part 2 [2013];[Animation]/[Comics]/[DC]/
Batman: Under the Red Hood [2010];[Animation]/[Comics]/[DC]/
Batman: Year One [2011];[Animation]/[Comics]/[DC]/
Billion Dollar Limited [1942];[Animation]/[Comics]/[DC]/
Blackhawk: Fearless Champion of Freedom [1952];[Animation]/[Comics]/[DC]/
DC Showcase: Catwoman [2011];[Animation]/[Comics]/[DC]/
DC Showcase: Green Arrow [2010];[Animation]/[Comics]/[DC]/
DC Showcase: Jonah Hex [2010];[Animation]/[Comics]/[DC]/
DC Showcase: Superman/Shazam!: The Return of Black Adam [2010];[Animation]/[Comics]/[DC]/
DC Showcase: The Spectre [2010];[Animation]/[Comics]/[DC]/
Destruction Inc. [1942];[Animation]/[Comics]/[DC]/
Electric Earthquake [1942];[Animation]/[Comics]/[DC]/
Eleventh Hour [1942];[Animation]/[Comics]/[DC]/
Grayson [2004];[Animation]/[Comics]/[DC]/
Green Lantern: Emerald Knights [2011];[Animation]/[Comics]/[DC]/
Green Lantern: First Flight [2009];[Animation]/[Comics]/[DC]/
Hop Harrigan [1946];[Animation]/[Comics]/[DC]/
James Batman [1966];[Animation]/[Comics]/[DC]/
Japoteurs [1942];[Animation]/[Comics]/[DC]/
JLA Adventures: Trapped in Time [2014];[Animation]/[Comics]/[DC]/
Jungle Drums [1943];[Animation]/[Comics]/[DC]/
Justice League of America [1997];[Animation]/[Comics]/[DC]/
Justice League: Crisis on Two Earths [2010];[Animation]/[Comics]/[DC]/
Justice League: Doom [2012];[Animation]/[Comics]/[DC]/
Justice League: The Flashpoint Paradox [2013];[Animation]/[Comics]/[DC]/
Justice League: The New Frontier [2008];[Animation]/[Comics]/[DC]/
Justice League: War [2014];[Animation]/[Comics]/[DC]/
Legends of the Superheroes [1979];[Animation]/[Comics]/[DC]/
LEGO Batman: The Movie - DC Superheroes Unite [2013];[Animation]/[Comics]/[DC]/
Look, Up in the Sky: The Amazing Story of Superman [2006];[Animation]/[Comics]/[DC]/
Patient J (Joker) [2005];[Animation]/[Comics]/[DC]/
Secret Agent [1943];[Animation]/[Comics]/[DC]/
Secret Origin: The Story of DC Comics [2010];[Animation]/[Comics]/[DC]/
Shazam! [1977];[Animation]/[Comics]/[DC]/
Showdown [1942];[Animation]/[Comics]/[DC]/
Son of Batman [2014];[Animation]/[Comics]/[DC]/
Stamp Day for Superman [1954];[Animation]/[Comics]/[DC]/
Superman [1941];[Animation]/[Comics]/[DC]/
Superman and the Mole-Men [1951];[Animation]/[Comics]/[DC]/
Superman vs. The Elite [2012];[Animation]/[Comics]/[DC]/
Superman: Brainiac Attacks [2006];[Animation]/[Comics]/[DC]/
Superman: Doomsday [2007];[Animation]/[Comics]/[DC]/
Superman: Unbound [2013];[Animation]/[Comics]/[DC]/
Superman/Batman: Apocalypse [2010];[Animation]/[Comics]/[DC]/
Superman/Batman: Public Enemies [2009];[Animation]/[Comics]/[DC]/
Tales of the Black Freighter [2009];[Animation]/[Comics]/[DC]/
Teen Titans: Trouble in Tokyo [2007];[Animation]/[Comics]/[DC]/
Terror on the Midway [1942];[Animation]/[Comics]/[DC]/
The Arctic Giant [1942];[Animation]/[Comics]/[DC]/
The Batman Superman Movie: World's Finest [1998];[Animation]/[Comics]/[DC]/
The Bulleteers [1942];[Animation]/[Comics]/[DC]/
The Lobo Paramilitary Christmas Special [2002];[Animation]/[Comics]/[DC]/
The Magnetic Telescope [1942];[Animation]/[Comics]/[DC]/
The Mechanical Monsters [1941];[Animation]/[Comics]/[DC]/
The Mummy Strikes [1943];[Animation]/[Comics]/[DC]/
The Underground World [1943];[Animation]/[Comics]/[DC]/
The Vigilante: Fighting Hero of the West [1947];[Animation]/[Comics]/[DC]/
Under the Hood [2009];[Animation]/[Comics]/[DC]/
Volcano [1942];[Animation]/[Comics]/[DC]/
Wonder Woman [2009];[Animation]/[Comics]/[DC]/
You Will Believe: The Cinematic Saga of Superman [2006];[Animation]/[Comics]/[DC]/
Avengers Confidential: Black Widow & Punisher [2014];[Animation]/[Comics]/[Marvel]/
Doctor Strange [2007];[Animation]/[Comics]/[Marvel]/
Hulk Vs. [2009];[Animation]/[Comics]/[Marvel]/
Iron Man & Captain America: Heroes United [2014];[Animation]/[Comics]/[Marvel]/
Iron Man & Hulk: Heroes United [2013];[Animation]/[Comics]/[Marvel]/
Iron Man: Rise of Technovore [2013];[Animation]/[Comics]/[Marvel]/
Next Avengers: Heroes of Tomorrow [2008];[Animation]/[Comics]/[Marvel]/
Planet Hulk [2010];[Animation]/[Comics]/[Marvel]/
Spider-Man: The Ultimate Villain Showdown [2002];[Animation]/[Comics]/[Marvel]/
The Invincible Iron Man [2007];[Animation]/[Comics]/[Marvel]/
Thor: Tales of Asgard [2011];[Animation]/[Comics]/[Marvel]/
Thor: Tales of Asgard [2011];[Animation]/[Comics]/[Marvel]/
Ultimate Avengers [2006];[Animation]/[Comics]/[Marvel]/
Ultimate Avengers II [2006];[Animation]/[Comics]/[Marvel]/
Batman [1966];[Based on]/[Comic Books]/[DC]/
Batman [1989];[Based on]/[Comic Books]/[DC]/
Batman & Robin [1997];[Based on]/[Comic Books]/[DC]/
Batman Begins [2005];[Based on]/[Comic Books]/[DC]/
Batman Forever [1995];[Based on]/[Comic Books]/[DC]/
Batman Returns [1992];[Based on]/[Comic Books]/[DC]/
Catwoman [2004];[Based on]/[Comic Books]/[DC]/
Constantine [2005];[Based on]/[Comic Books]/[DC]/
Green Lantern [2011];[Based on]/[Comic Books]/[DC]/
Jonah Hex [2010];[Based on]/[Comic Books]/[DC]/
Man of Steel [2013];[Based on]/[Comic Books]/[DC]/
Return to the Batcave: The Misadventures of Adam and Burt [2003];[Based on]/[Comic Books]/[DC]/
Steel [1997];[Based on]/[Comic Books]/[DC]/
Supergirl [1984];[Based on]/[Comic Books]/[DC]/
Superman [1978];[Based on]/[Comic Books]/[DC]/
Superman II [1980];[Based on]/[Comic Books]/[DC]/
Superman III [1983];[Based on]/[Comic Books]/[DC]/
Superman IV: The Quest for Peace [1987];[Based on]/[Comic Books]/[DC]/
Superman Returns [2006];[Based on]/[Comic Books]/[DC]/
Swamp Thing [1982];[Based on]/[Comic Books]/[DC]/
The Batman vs Dracula: The Animated Movie [2005];[Based on]/[Comic Books]/[DC]/
The Dark Knight [2008];[Based on]/[Comic Books]/[DC]/
The Dark Knight Rises [2012];[Based on]/[Comic Books]/[DC]/
The Green Hornet [2011];[Based on]/[Comic Books]/[DC]/
The Return of Swamp Thing [1989];[Based on]/[Comic Books]/[DC]/
V For Vendetta [2005];[Based on]/[Comic Books]/[DC]/
Watchmen [2009];[Based on]/[Comic Books]/[DC]/
Wonder Woman [1974];[Based on]/[Comic Books]/[DC]/
Ant-Man [2014];[Based on]/[Comic Books]/[Marvel]/
Avengers Confidential: Black Widow & Punisher [2014];[Based on]/[Comic Books]/[Marvel]/
Big Hero 6 [2014];[Based on]/[Comic Books]/[Marvel]/
Blade [1998];[Based on]/[Comic Books]/[Marvel]/
Blade II [2002];[Based on]/[Comic Books]/[Marvel]/
Blade: Trinity [2004];[Based on]/[Comic Books]/[Marvel]/
Captain America [1990];[Based on]/[Comic Books]/[Marvel]/
Captain America 3 [2016];[Based on]/[Comic Books]/[Marvel]/
Captain America: The First Avenger [2011];[Based on]/[Comic Books]/[Marvel]/
Captain America: The Winter Soldier [2014];[Based on]/[Comic Books]/[Marvel]/
Daredevil [2003];[Based on]/[Comic Books]/[Marvel]/
Deadpool [2014];[Based on]/[Comic Books]/[Marvel]/
Doctor Strange [2012];[Based on]/[Comic Books]/[Marvel]/
Elektra [2005];[Based on]/[Comic Books]/[Marvel]/
Fantastic Four [2005];[Based on]/[Comic Books]/[Marvel]/
Fantastic Four: Rise of the Silver Surfer [2007];[Based on]/[Comic Books]/[Marvel]/
Generation X [1996];[Based on]/[Comic Books]/[Marvel]/
Ghost Rider [2007];[Based on]/[Comic Books]/[Marvel]/
Ghost Rider: Spirit of Vengeance [2011];[Based on]/[Comic Books]/[Marvel]/
Guardians of the Galaxy [2014];[Based on]/[Comic Books]/[Marvel]/
Guardians of the Galaxy 2 [2017];[Based on]/[Comic Books]/[Marvel]/
Howard the Duck [1986];[Based on]/[Comic Books]/[Marvel]/
Hulk [2003];[Based on]/[Comic Books]/[Marvel]/
Hulk Vs. [2009];[Based on]/[Comic Books]/[Marvel]/
Iron Man [2008];[Based on]/[Comic Books]/[Marvel]/
Iron Man & Captain America: Heroes United [2014];[Based on]/[Comic Books]/[Marvel]/
Iron Man & Hulk: Heroes United [2013];[Based on]/[Comic Books]/[Marvel]/
Iron Man 2 [2010];[Based on]/[Comic Books]/[Marvel]/
Iron Man 3 [2013];[Based on]/[Comic Books]/[Marvel]/
Man-Thing [2005];[Based on]/[Comic Books]/[Marvel]/
Mutant X [2004];[Based on]/[Comic Books]/[Marvel]/
Nick Fury [2012];[Based on]/[Comic Books]/[Marvel]/
Nick Fury: Agent of Shield [1998];[Based on]/[Comic Books]/[Marvel]/
Planet Hulk [2010];[Based on]/[Comic Books]/[Marvel]/
Punisher: War Zone [2008];[Based on]/[Comic Books]/[Marvel]/
Silver Surfer [2014];[Based on]/[Comic Books]/[Marvel]/
Spider-Man [2002];[Based on]/[Comic Books]/[Marvel]/
Spider-Man 2 [2004];[Based on]/[Comic Books]/[Marvel]/
Spider-Man 3 [2007];[Based on]/[Comic Books]/[Marvel]/
Spider-Man Strikes Back [1979];[Based on]/[Comic Books]/[Marvel]/
Spider-Man: The Dragon's Challenge [1981];[Based on]/[Comic Books]/[Marvel]/
Spider-Man: The Ultimate Villain Showdown [2002];[Based on]/[Comic Books]/[Marvel]/
The Amazing Spider-Man [2012];[Based on]/[Comic Books]/[Marvel]/
The Avengers [2012];[Based on]/[Comic Books]/[Marvel]/
The Avengers: Age of Ultron [2015];[Based on]/[Comic Books]/[Marvel]/
The Fantastic Four [1994];[Based on]/[Comic Books]/[Marvel]/
The Incredible Hulk [2008];[Based on]/[Comic Books]/[Marvel]/
The Invincible Iron Man [2007];[Based on]/[Comic Books]/[Marvel]/
The Punisher [1989];[Based on]/[Comic Books]/[Marvel]/
