Du er ikke alene AKA You Are Not Alone [1978];[Coming of Age Movie]
En tu ausencia AKA In Your Absence [2008];[Coming of Age Movie]
Jet Boy AKA Moments [2001];[Coming of Age Movie]
10 1/2 AKA Dix et demi [2010];[Coming of Age Movie]
The Abduction of Zack Butterfield [2011];[Coming of Age Movie]
Toast [2010];[Coming of Age Movie]
Angyali üdvözlet AKA The Annunciation [1984];[Coming of Age Movie]
Stand by Me [1986];[Coming of Age Movie]
The Art of Getting By [2011];[Coming of Age Movie]
That's What I Am [2011];[Coming of Age Movie]
Wenecja AKA Venice [2010];[Coming of Age Movie]
Sciuscià AKA Shoeshine [1946];[Coming of Age Movie]
Tom Brown's School Days [1940];[Coming of Age Movie]
I Am Gabriel [2012];[Coming of Age Movie]
This Is England [2006];[Coming of Age Movie]
Le chiavi di casa AKA The Keys to the House [2004];[Coming of Age Movie]
The Good Son [1993];[Coming of Age Movie]
The Boy with Green Hair [1948];[Coming of Age Movie]
Vor AKA The Thief [1997];[Coming of Age Movie]
Bad News Bears [2005];[Coming of Age Movie]
When Andrew Came Home AKA Taming Andrew [2000];[Coming of Age Movie]
Temporada de patos AKA Duck Season [2004];[Coming of Age Movie]
The Heart Is Deceitful Above All Things [2004];[Coming of Age Movie]
The Cure [1995];[Coming of Age Movie]
Twelve and Holding [2005];[Coming of Age Movie]
Toto le Héros AKA Toto the Hero [1991];[Coming of Age Movie]
Tout contre Léo AKA Close to Leo [2002];[Coming of Age Movie]
La Teta i la Lluna AKA Teté & the Moon AKA The Tit and the Moon [1994];[Coming of Age Movie]
Les quatre cents coups AKA The 400 Blows [1959];[Coming of Age Movie]
The Spanish Gardener [1956];[Coming of Age Movie]
The Champ [1979];[Coming of Age Movie]
The Interrogation of Michael Crowe [2002];[Coming of Age Movie]
The Browning Version [1994];[Coming of Age Movie]
The Mighty [1998];[Coming of Age Movie]
Les choristes AKA The Chorus [2004];[Coming of Age Movie]
The Dangerous Lives of Altar Boys [2002];[Coming of Age Movie]
L'Enfant Sauvage AKA The Wild Child [1970];[Coming of Age Movie]
A Oitava Cor do Arco-íris AKA The Eighth Color of the Rainbow [2004];[Coming of Age Movie]
Teenage Paparazzo [2010];[Coming of Age Movie]
The Maldonado Miracle [2003];[Coming of Age Movie]
The Gate [1987];[Coming of Age Movie]
The Kite Runner [2007];[Coming of Age Movie]
The Story of Net [2010];[Coming of Age Movie]
The Man Without a Face [1993];[Coming of Age Movie]
Tomboy [2011];[Coming of Age Movie]
La ville dont le prince est un enfant AKA The Fire That Burns [1997];[Coming of Age Movie]
The NeverEnding Story [1984];[Coming of Age Movie]
The Number 23 [2007];[Coming of Age Movie]
Vozvrashchenie AKA The Return [2003];[Coming of Age Movie]
Trevor [1994];[Coming of Age Movie]
The Seeker: The Dark Is Rising [2007];[Coming of Age Movie]
The Spiderwick Chronicles [2008];[Coming of Age Movie]
The Learning Tree [1969];[Coming of Age Movie]
The Squid and the Whale [2005];[Coming of Age Movie]
The Emerald Forest [1985];[Coming of Age Movie]
De aanslag AKA The Assault [1986];[Coming of Age Movie]
The Fruit Machine AKA Wonderland [1988];[Coming of Age Movie]
Dom za vesanje AKA Time of the Gypsies [1988];[Coming of Age Movie]
Die Blechtrommel AKA The Tin Drum [1979];[Coming of Age Movie]
Tendres cousines AKA Cousins in Love [1980];[Coming of Age Movie]
Tom Sawyer [1973];[Coming of Age Movie]
Sun on the Stubble [1996];[Coming of Age Movie]
Kådisbellan AKA The Slingshot [1993];[Coming of Age Movie]
Eno nakano bokuno mura AKA Village of Dreams [1996];[Coming of Age Movie]
Vito e gli altri AKA Vito and the Others [1991];[Coming of Age Movie]
Da jeg traff Jesus... med sprettert AKA Odd Little Man [2000];[Coming of Age Movie]
Whole New Thing [2005];[Coming of Age Movie]
War of the Buttons [1994];[Coming of Age Movie]
La nouvelle guerre des boutons AKA War of the Buttons [2011];[Coming of Age Movie]
Stolen Summer [2002];[Coming of Age Movie]
Sommersturm AKA Summer Storm [2004];[Coming of Age Movie]
Wide Awake [1998];[Coming of Age Movie]
