The Crow [1994]; Crow I, The
X-Men [2000];X-Men 1
X2: X-Men United [2003];X-Men 2 - X2 - United
X-Men: The Last Stand [2006];X-Men 3 - The Last Stand
X-Men Origins: Wolverine [2009];X-Men 4 - Origins - Wolverine
X-Men: First Class [2011];X-Men 5 - First Class
The Wolverine [2013];X-Men 6 - Wolverine, The
Captain America: The First Avenger [2011];Captain America I - The First Avenger
Ghost Rider: Spirit of Vengeance [2011];Ghost Rider 2 - Spirit of Vengeance
Blade: Trinity [2004];Blade III - Trinity
Hammer of the Gods [2009]; Thor - Hammer of The Gods
Men in Black 3 [2012];Men in Black III
Resident Evil [2002];Resident Evil 1
Resident Evil: Apocalypse [2004];Resident Evil 2 - Apocalypse
Resident Evil: Extinction [2007];Resident Evil 3 - Extinction
Resident Evil: Afterlife [2010];Resident Evil 4 - Afterlife
Resident Evil: Retribution [2012];Resident Evil 5 - Retribution
A Chinese Ghost Story [1987];A Chinese Ghost Story I
Sien Nui Yau Wan [1987];A Chinese Ghost Story I
A Chinese Ghost Story II [1990];A Chinese Ghost Story II
Sien nui yau wan II yan gaan do [1990];A Chinese Ghost Story II
A Chinese Ghost Story III [1991];A Chinese Ghost Story III
Sien lui yau wan III: Do do do [1991];A Chinese Ghost Story III
Aladdin [1992];Aladdin I
The Return of Jafar [1994];Aladdin II - The Return of Jafar
Aladdin and the King of Thieves [1995];Aladdin III - And the King of Thieves
Arthur and the Invisibles [2006];Arthur I - And The Invisibles
Arthur et les Minimoys [2006];Arthur I - And The Invisibles
Arthur and the Revenge of Maltazard [2009];Arthur II - And The Revenge of Maltazard
Arthur et la vengeance de Maltazard [2009];Arthur II - And The Revenge of Maltazard
Arthur 3: The War of the Two Worlds [2010];Arthur III - The War of the Two Worlds
Arthur et la guerre des deux mondes [2010];Arthur III - The War of the Two Worlds
August Underground [2001];August Underground I
August Underground's Mordum [2003];August Underground II - Mordum
August Underground's Penance [2007];August Underground III - Penance
Penance [2007];August Underground III - Penance
Austin Powers: International Man of Mystery [1997];Austin Powers I - International Man of Mystery
Austin Powers: The Spy Who Shagged Me [1999];Austin Powers II - The Spy Who Shagged Me
Austin Powers in Goldmember [2002];Austin Powers III - In Goldmember
Back to the Future [1985];Back to the Future (Part I)
Back to the Future Part II [1989];Back to the Future (Part II)
Back to the Future Part III [1990];Back to the Future (Part III)
Basket Case [1982];Basket Case I 
Basket Case 2 [1990];Basket Case II
Basket Case 3: The Progeny [1992];Basket Case III - The Progeny
Beverly Hills Cop [1984];Beverly Hills Cop I [1984]
Beverly Hills Cop II [1987];Beverly Hills Cop II [1987]
Beverly Hills Cop III [1994];Beverly Hills Cop III [1994]
Blood Wedding [1981];Blood Wedding I
Bodas de sangre [1981];Blood Wedding I
Carmen [1983];Blood Wedding II - Carmen
A Love Bewitched [1986];Blood Wedding III - A Love Bewitched
El amor brujo [1986];Blood Wedding III - A Love Bewitched
Boogeyman [2005];Boogeyman I
Boogeyman 2 [2007];Boogeyman II
Boogeyman 3 [2008];Boogeyman III
Breaking the Waves [1996];Breaking the Waves I
Dogme #2 [1998];Breaking the Waves II - The Idiots
Idioterne [1998];Breaking the Waves II - The Idiots
The Idiots [1998];Breaking the Waves II - The Idiots
Dancer in the Dark [2000];Breaking the Waves III - Dancer in the Dark
Candyman [1992];Candyman I
Candyman: Farewell to the Flesh [1995];Candyman II - Farewell to the Flesh
Candyman: Day of the Dead [1999];Candyman III - Day of the Dead
Creature from the Black Lagoon [1954];Creature from the Black Lagoon I
Revenge of the Creature [1955];Creature from the Black Lagoon II - Revenge of the Creature
The Creature Walks Among Us [1956];Creature from the Black Lagoon III - The Creature Walks Among Us
Creepshow [1982];Creepshow I
Creepshow 2 [1987];Creepshow II
Creepshow III [2006];Creepshow III
Cruel Intentions [1999];Cruel Intentions I
Cruel Intentions 2 [2000];Cruel Intentions II
Cruel Intentions 3 [2004];Cruel Intentions III
Cube [1997];Cube I
Cube 2: Hypercube [2002];Cube II - Hypercube
Cube Zero [2004];Cube III - Zero
Darkman [1990];Darkman I
Darkman II: The Return of Durant [1995];Darkman II - The Return of Durant
Darkman III: Die Darkman Die [1996];Darkman III - Die Darkman Die
El Mariachi [1992];El Mariachi I
Desperado [1995];El Mariachi II - Desperado
Once Upon a Time in Mexico [2003];El Mariachi III - Once Upon a Time in Mexico
Family Guy Presents Blue Harvest [2007];Family Guy Presents Episode I - Blue Harvest
Family Guy Presents Something, Something, Something Dark Side [2009];Family Guy Presents Episode II - Something, Something, Something Dark Side
Family Guy Presents: It's A Trap [2010];Family Guy Presents Episode III - It's A Trap
Feast [2005];Feast I
Feast II: Sloppy Seconds [2008];Feast II - Sloppy Seconds
Feast 3: The Happy Finish [2009];Feast III - The Happy Finish
Friday [1995];Friday I
Next Friday [2000];Friday II - Next Friday
Friday After Next [2002];Friday III - Friday After Next
Gerry [2002];Gerry I
Elephant [2003];Gerry II - Elephant
Last Days [2005];Gerry III - Last Days
Goal! [2005];Goal! I
Goal II: Living the Dream [2007];Goal! II - Living the Dream
Goal! III [2009];Goal! III
High School Musical [2006];High School Musical I
High School Musical 2 [2007];High School Musical II
High School Musical 3: Senior Year [2008];High School Musical III - Senior Year
Honey, I Shrunk the Kids [1989];Honey, I Shrunk the Kids I
Honey I Blew Up the Kid [1992];Honey, I Shrunk the Kids II - Honey I Blew Up the Kid
Honey, We Shrunk Ourselves [1997];Honey, I Shrunk the Kids III - Honey, We Shrunk Ourselves
Hostel [2005];Hostel (Part I)
Hostel: Part II [2007];Hostel (Part II)
Hostel: Part III [2011];Hostel (Part III)
I Know What You Did Last Summer [1997];I Know What You Did Last Summer I
I Still Know What You Did Last Summer [1998];I Know What You Did Last Summer II - I Still Know What You Did Last Summer
I'll Always Know What You Did Last Summer [2006];I Know What You Did Last Summer III - I'll Always Know What You Did Last Summer
Infernal Affairs [2002];Infernal Affairs I
Mou gaan dou [2002];Infernal Affairs I
Infernal Affairs II [2003];Infernal Affairs II
Mou gaan dou II [2003];Infernal Affairs II
Infernal Affairs III [2003];Infernal Affairs III
Mou gaan dou III [2003];Infernal Affairs III
Jurassic Park [1993];Jurassic Park I
The Lost World: Jurassic Park [1997];Jurassic Park II - The Lost World 
Jurassic Park III [2001];Jurassic Park III
Koyaanisqatsi [1982];Life Out of Balance I
Life Out of Balance [1982];Life Out of Balance I
Powaqqatsi: Life in Transformation [1988];Life Out of Balance II - Life in Transformation
Naqoyqatsi: Life as War [2002];Life Out of Balance III - Life as War
Amores perros [2000];Love's a Bitch I
Love's a Bitch [2000];Love's a Bitch I
21 Grams [2003];Love's a Bitch II - 21 Grams [2003]
Babel [2006];Love's a Bitch III - Babel [2006]
Mad Max [1979];Mad Max II - The Road Warrior
Mad Max 2: The Road Warrior [1981];Mad Max II - The Road Warrior
Mad Max Beyond Thunderdome [1985];Mad Max III - Beyond Thunderdome
Major League [1989];Major League I
Major League II [1994];Major League II
Major League: Back to the Minors [1998];Major League III - Back to the Minors
Maniac Cop [1988];Maniac Cop I
Maniac Cop 2 [1990];Maniac Cop II
Maniac Cop 3: Badge of Silence [1993];Maniac Cop III - Badge of Silence
Naked Gun 33 1/3: The Final Insult [1994];Naked Gun 33 1/3 - The Final Insult
Ocean's Eleven [2001];Ocean's I - Eleven 
Ocean's Twelve [2004];Ocean's II - Twelve
Ocean's Thirteen [2007];Ocean's III - Thirteen
Once Upon a Time in China [1991];Once Upon a Time in China I
Wong Fei Hung [1991];Once Upon a Time in China I
Once Upon a Time in China II [1992];Once Upon a Time in China II
Wong Fei Hung II [1992];Once Upon a Time in China II
Once Upon a Time in China III [1993];Once Upon a Time in China III
Wong Fei Hung Ji Saam: Si Wong Jaang Ba [1993];Once Upon a Time in China III
Chakushin Ari [2003];One Missed Call I
One Missed Call [2003];One Missed Call I
Chakushin ari 2 [2005];One Missed Call II
One Missed Call 2 [2005];One Missed Call II
Chakushin ari final [2006];One Missed Call III - Final
One Missed Call: Final [2006];One Missed Call III - Final
Ong-bak [2003];Ong-Bak I - The Thai Warrior
Ong-Bak: The Thai Warrior [2003];Ong-Bak I - The Thai Warrior
Ong bak 2 [2008];Ong-bak II
Ong Bak 3 [2010];Ong-Bak III
Poltergeist [1982];Poltergeist I
Poltergeist II: The Other Side [1986];Poltergeist II - The Other Side
Poltergeist III [1988];Poltergeist III
Problem Child [1990];Problem Child I
Problem Child 2 [1991];Problem Child II
Problem Child 3: Junior in Love [1995];Problem Child III - Junior in Love
Pusher [1996];Pusher I
Pusher II [2004];Pusher II
Pusher 3 [2005];Pusher III
Re-Animator [1985];Re-Animator I
Bride of Re-Animator [1990];Re-Animator II - Bride of Re-Animator
Beyond Re-Animator [2003];Re-Animator III - Beyond Re-Animator
Red Riding: 1974 [2009];Red Riding I - 1974
Red Riding: 1980 [2009];Red Riding II - 1980
