¿Quién puede matar a un niño? [1976];[Based on a Book]
101 Reykjavík [2000];[Based on a Book]
102 Dalmatians [2000];[Based on a Book]
127 Hours [2010];[Based on a Book]
1408 [2007];[Based on a Book]
1984 [1956];[Based on a Book]
1984 [1984];[Based on a Book]
2001: A Space Odyssey [1968];[Based on a Book]
2010: The Year We Make Contact [1984];[Based on a Book]
25th Hour [2002];[Based on a Book]
3:10 to Yuma [2007];[Based on a Book]
7 Days [2010];[Based on a Book]
8-Ball [2013];[Based on a Book]
8-Pallo [2013];[Based on a Book]
A Beautiful Mind [2001];[Based on a Book]
A Bridge Too Far [1977];[Based on a Book]
A Christmas Carol [1999];[Based on a Book]
A Christmas Carol [2009];[Based on a Book]
A Civil Action [1998];[Based on a Book]
A Clockwork Orange [1971];[Based on a Book]
A dunai hajós [1974];[Based on a Book]
A Good Marriage [2014];[Based on a Book]
A Guide to Recognizing Your Saints [2006];[Based on a Book]
A köszívü ember fiai [1965];[Based on a Book]
A Londoni férfi [2007];[Based on a Book]
A Long Way Down [2014];[Based on a Book]
A Mighty Heart [2007];[Based on a Book]
A miskolci boniésklájd [2004];[Based on a Book]
A Night to Remember [1958];[Based on a Book]
A Pál utcai fiúk [1969];[Based on a Book]
A Passage to India [1984];[Based on a Book]
A Pendragon legenda [1974];[Based on a Book]
A Place in the Sun [1951];[Based on a Book]
A Place in the Sun [2012];[Based on a Book]
A River Runs Through It [1992];[Based on a Book]
A Room with a View [1985];[Based on a Book]
A Scanner Darkly [2006];[Based on a Book]
A Simple Plan [1998];[Based on a Book]
A Single Man [2009];[Based on a Book]
A Single Shot [2013];[Based on a Book]
A Time to Kill [1996];[Based on a Book]
A Very Long Engagement [2004];[Based on a Book]
A Walk Among the Tombstones [2014];[Based on a Book]
A Walk to Remember [2002];[Based on a Book]
About a Boy [2002];[Based on a Book]
About Schmidt [2002];[Based on a Book]
Abraham Lincoln: Vampire Hunter [2012];[Based on a Book]
Acceptable Risk [2001];[Based on a Book]
Adaptation. [2002];[Based on a Book]
After Dark, My Sweet [1990];[Based on a Book]
Alice in Wonderland [1999];[Based on a Book]
Alice in Wonderland [2010];[Based on a Book]
All Quiet on the Western Front [1930];[Based on a Book]
All Quiet on the Western Front [1979];[Based on a Book]
All the King's Men [2006];[Based on a Book]
All the Little Animals [1998];[Based on a Book]
Along Came a Spider [2001];[Based on a Book]
Alongside Night [2014];[Based on a Book]
American Psycho [2000];[Based on a Book]
American Sniper [2014];[Based on a Book]
An Amish Murder [2013];[Based on a Book]
An Education [2009];[Based on a Book]
Anatomy of a Murder [1959];[Based on a Book]
Angel Heart [1987];[Based on a Book]
Angela's Ashes [1999];[Based on a Book]
Angels & Demons [2009];[Based on a Book]
Angus, Thongs and Perfect Snogging [2008];[Based on a Book]
Animal Factory [2000];[Based on a Book]
Animal Farm [1954];[Based on a Book]
Animal Farm [1999];[Based on a Book]
Ann Rule Presents: The Stranger Beside Me [2003];[Based on a Book]
Anne of Green Gables [1985];[Based on a Book]
Annika Bengtzon: Crime Reporter [2012];[Based on a Book]
Apám beájulna [2003];[Based on a Book]
Apocalypse Now [1979];[Based on a Book]
Apollo 13 [1995];[Based on a Book]
Appaloosa [2008];[Based on a Book]
Appointment with Death [1988];[Based on a Book]
Apt Pupil [1998];[Based on a Book]
Argo [2012];[Based on a Book]
Arn, Riket vid vägens slut [2008];[Based on a Book]
Arn, The Kingdom At Road's End [2008];[Based on a Book]
Árvácska [1976];[Based on a Book]
As Far as My Feet Will Carry Me [2001];[Based on a Book]
Atlantis: The Lost Empire [2001];[Based on a Book]
Atlas Shrugged II: The Strike [2012];[Based on a Book]
Atlas Shrugged: Part I [2011];[Based on a Book]
Atonement [2007];[Based on a Book]
Audition [1999];[Based on a Book]
Awakenings [1990];[Based on a Book]
Az aranyember [1962];[Based on a Book]
Az ötödik pecsét [1976];[Based on a Book]
Babe [1995];[Based on a Book]
Baise-moi [2000];[Based on a Book]
Barney's Version [2010];[Based on a Book]
Barry Lyndon [1975];[Based on a Book]
Batoru rowaiaru [2000];[Based on a Book]
Battle Royale [2000];[Based on a Book]
Be Cool [2005];[Based on a Book]
Bear Island [1979];[Based on a Book]
Beatles [2014];[Based on a Book]
Before Night Falls [2000];[Based on a Book]
Beloved [1998];[Based on a Book]
Belphégor - Le Fantôme du Louvre [2001];[Based on a Book]
Belphegor, Phantom of the Louvre [2001];[Based on a Book]
Ben X [2007];[Based on a Book]
Ben-Hur [1959];[Based on a Book]
Bicentennial Man [1999];[Based on a Book]
Bicycle Thieves [1948];[Based on a Book]
Big Driver [2014];[Based on a Book]
Big Fish [2003];[Based on a Book]
Big Trouble [2002];[Based on a Book]
Birdy [1984];[Based on a Book]
Black Hawk Down [2001];[Based on a Book]
Black Robe [1991];[Based on a Book]
Black Sunday [1977];[Based on a Book]
Blade Runner [1982];[Based on a Book]
Bless the Child [2000];[Based on a Book]
Blindness [2008];[Based on a Book]
Blood Work [2002];[Based on a Book]
Body of Lies [2008];[Based on a Book]
Body Snatchers [1993];[Based on a Book]
Born on the Fourth of July [1989];[Based on a Book]
Boy A [2007];[Based on a Book]
Bram Stoker's Dracula [1992];[Based on a Book]
Breakfast at Tiffany's [1961];[Based on a Book]
Bridge to Terabithia [2007];[Based on a Book]
Bridget Jones: The Edge of Reason [2004];[Based on a Book]
Bridget Jones's Diary [2001];[Based on a Book]
Bright Lights, Big City [1988];[Based on a Book]
Bringing Out the Dead [1999];[Based on a Book]
Brotherly Love [1985];[Based on a Book]
Cape Fear [1991];[Based on a Book]
Capote [2005];[Based on a Book]
Carandiru [2003];[Based on a Book]
Carlito's Way [1993];[Based on a Book]
Carrie [1976];[Based on a Book]
Carrie [2002];[Based on a Book]
Carrie [2013];[Based on a Book]
Casino [1995];[Based on a Book]
Casino Royale [2006];[Based on a Book]
Cat's Eye [1985];[Based on a Book]
Catch Me If You Can [2002];[Based on a Book]
Catch-22 [1970];[Based on a Book]
Celda 211 [2009];[Based on a Book]
Cell 211 [2009];[Based on a Book]
Charlie and the Chocolate Factory [2005];[Based on a Book]
Charlie Wilson's War [2007];[Based on a Book]
Charlotte Gray [2001];[Based on a Book]
Charlotte's Web [1973];[Based on a Book]
Charly [1968];[Based on a Book]
Child 44 [2015];[Based on a Book]
Children of Men [2006];[Based on a Book]
Children of the Corn [1984];[Based on a Book]
Children of the Corn [2009];[Based on a Book]
Chocolat [2000];[Based on a Book]
Choke [2008];[Based on a Book]
Christine [1983];[Based on a Book]
Cidade de Deus [2002];[Based on a Book]
Citizen X [1995];[Based on a Book]
City of Ember [2008];[Based on a Book]
City of God [2002];[Based on a Book]
City of Violence [2013];[Based on a Book]
Clear and Present Danger [1994];[Based on a Book]
Cloud Atlas [2012];[Based on a Book]
Clueless [1995];[Based on a Book]
Cobra [1986];[Based on a Book]
Code Name: Emerald [1985];[Based on a Book]
Cold in July [2014];[Based on a Book]
Cold Light [2004];[Based on a Book]
Cold Mountain [2003];[Based on a Book]
Confessions of a Dangerous Mind [2002];[Based on a Book]
Congo [1995];[Based on a Book]
Contact [1997];[Based on a Book]
Cool Hand Luke [1967];[Based on a Book]
Coraline [2009];[Based on a Book]
Cosmopolis [2012];[Based on a Book]
Cracks [2009];[Based on a Book]
Crazy Heart [2009];[Based on a Book]
Crime and Punishment [1935];[Based on a Book]
Crime and Punishment [1956];[Based on a Book]
Crime et châtiment [1956];[Based on a Book]
Cross of Iron [1977];[Based on a Book]
Crouching Tiger, Hidden Dragon [2000];[Based on a Book]
Cruel Intentions [1999];[Based on a Book]
Cujo [1983];[Based on a Book]
Cure [1997];[Based on a Book]
Cutter's Way [1981];[Based on a Book]
Dances with Wolves [1990];[Based on a Book]
Dangerous Liaisons [1988];[Based on a Book]
Dangerous Minds [1995];[Based on a Book]
Dark Water [2002];[Based on a Book]
Dark Water [2005];[Based on a Book]
Das Boot [1981];[Based on a Book]
Day Watch [2006];[Based on a Book]
De Behandeling [2014];[Based on a Book]
De griezelbus [2005];[Based on a Book]
De Helaasheid Der Dingen [2009];[Based on a Book]
De zaak Alzheimer [2003];[Based on a Book]
Dead Calm [1989];[Based on a Book]
Death Sentence [2007];[Based on a Book]
Deliverance [1972];[Based on a Book]
Den Osynlige [2002];[Based on a Book]
