Judge Dredd [1995];[Action]
The Time Traveler's Wife [2009];[Chick Flicks]
He's Just Not That Into You [2009];[Chick Flicks]
The Proposal [2009];[Chick Flicks]
Bride Wars [2009];[Chick Flicks]
The Sisterhood of the Traveling Pants 2 [2008];[Chick Flicks]
Two Lovers [2008];[Chick Flicks]
27 Dresses [2008];[Chick Flicks]
The Accidental Husband [2008];[Chick Flicks]
Music and Lyrics [2007];[Chick Flicks]
Priceless [2006];[Chick Flicks]
Hors De Prix [2006];[Chick Flicks]
Love and Other Disasters [2006];[Chick Flicks]
The Holiday [2006];[Chick Flicks]
The Sisterhood of the Traveling Pants [2005];[Chick Flicks]
50 First Dates [2004];[Chick Flicks]
Mean Girls [2004];[Chick Flicks]
The Notebook [2004];[Chick Flicks]
Mona Lisa Smile [2003];[Chick Flicks]
What a Girl Wants [2003];[Chick Flicks]
Love Actually [2003];[Chick Flicks]
Sweet Home Alabama [2002];[Chick Flicks]
Legally Blonde [2001];[Chick Flicks]
My Big Fat Greek Wedding [2002];[Chick Flicks]
Bridget Jones's Diary [2001];[Chick Flicks]
Kate & Leopold [2001];[Chick Flicks]
What Women Want [2000];[Chick Flicks]
Never Been Kissed [1999];[Chick Flicks]
Notting Hill [1999];[Chick Flicks]
You've Got Mail [1998];[Chick Flicks]
Meet Joe Black [1998];[Chick Flicks]
Titanic [1997];[Chick Flicks]
City of Angels [1998];[Chick Flicks]
Clueless [1995];[Chick Flicks]
Stepmom [1998];[Chick Flicks]
My Best Friend's Wedding [1997];[Chick Flicks]
The American President [1995];[Chick Flicks]
Before Sunrise [1995];[Chick Flicks]
Legends of the Fall [1994];[Chick Flicks]
Muriel's Wedding [1994];[Chick Flicks]
Little Women [1994];[Chick Flicks]
Four Weddings and a Funeral [1994];[Chick Flicks]
It Could Happen to You [1994];[Chick Flicks]
Sleepless in Seattle [1993];[Chick Flicks]
The Remains of the Day [1993];[Chick Flicks]
Thelma & Louise [1991];[Chick Flicks]
A League of Their Own [1992];[Chick Flicks]
The Joy Luck Club [1993];[Chick Flicks]
Pretty Woman [1990];[Chick Flicks]
Ghost [1990];[Chick Flicks]
When Harry Met Sally... [1989];[Chick Flicks]
Say Anything... [1989];[Chick Flicks]
Always [1989];[Chick Flicks]
Dirty Dancing [1987];[Chick Flicks]
Beaches [1988];[Chick Flicks]
The Princess Bride [1987];[Chick Flicks]
