...And Your Name Is Jonah [1979];[Coming of Age Movie]
(500) Days of Summer [2009];[Coming of Age Movie]
10 1/2 [2010];[Coming of Age Movie]
10 Things I Hate About You [1999];[Coming of Age Movie]
100 Days Before the Command [1994];[Coming of Age Movie]
12 and Holding [2005];[Coming of Age Movie]
12 toner ned [2008];[Coming of Age Movie]
13 ans [2008];[Coming of Age Movie]
15 Amore [1998];[Coming of Age Movie]
16-Love [2012];[Coming of Age Movie]
1900 [1976];[Coming of Age Movie]
1er Amour [2013];[Coming of Age Movie]
1st Love [2013];[Coming of Age Movie]
2 Little Indians [2013];[Coming of Age Movie]
28 Weeks Later [2007];[Coming of Age Movie]
A Bag of Hammers [2011];[Coming of Age Movie]
A Birder's Guide to Everything [2013];[Coming of Age Movie]
A Boy and His Dog [1946];[Coming of Age Movie]
A Boy and His Dog [1975];[Coming of Age Movie]
A Bronx Tale [1993];[Coming of Age Movie]
A Child Went Forth [1941];[Coming of Age Movie]
A Children's Story [2004];[Coming of Age Movie]
A Christmas Story 2 [2012];[Coming of Age Movie]
A Cool, Dry Place [1998];[Coming of Age Movie]
A Distant Neighborhood [2010];[Coming of Age Movie]
A Dog of Flanders [1999];[Coming of Age Movie]
A Dream in Hanoi [2009];[Coming of Age Movie]
A Dublin Story [2003];[Coming of Age Movie]
A Handful of Grass [2000];[Coming of Age Movie]
A Letter of Fire [2005];[Coming of Age Movie]
A Little Closer [2011];[Coming of Age Movie]
A Little Comfort [2004];[Coming of Age Movie]
A Little Princess [1995];[Coming of Age Movie]
À ma soeur! [2001];[Coming of Age Movie]
A Night in the Life of Jimmy Reardon [1988];[Coming of Age Movie]
A No-Hit No-Run Summer [2008];[Coming of Age Movie]
A Oitava Cor do Arco-íris [2004];[Coming of Age Movie]
A Painted House [2003];[Coming of Age Movie]
A Perfect Game [2006];[Coming of Age Movie]
A Perfect World [1993];[Coming of Age Movie]
A rózsa énekei [2003];[Coming of Age Movie]
A Separate Peace [1972];[Coming of Age Movie]
A Silent Voice [2016];[Coming of Age Movie]
A Summer Tale [2000];[Coming of Age Movie]
A Suprema Felicidade [2010];[Coming of Age Movie]
A Swarm in May [1983];[Coming of Age Movie]
A Swedish Love Story [1970];[Coming of Age Movie]
A Time for Drunken Horses [2000];[Coming of Age Movie]
A Tree Grows in Brooklyn [1945];[Coming of Age Movie]
A Trickle of Blood [1995];[Coming of Age Movie]
Abel, twój brat [1970];[Coming of Age Movie]
Abel, Your Brother [1970];[Coming of Age Movie]
Abeltje [1998];[Coming of Age Movie]
Abouna [2002];[Coming of Age Movie]
About a Boy [2002];[Coming of Age Movie]
Abril Despedaçado [2001];[Coming of Age Movie]
Abuse [1983];[Coming of Age Movie]
Accidents Happen [2009];[Coming of Age Movie]
Acla's Decent Into Floristella [1992];[Coming of Age Movie]
Across the Sea of Time [1995];[Coming of Age Movie]
Adama Meshuga'at [2006];[Coming of Age Movie]
Adeus, Pai [1996];[Coming of Age Movie]
Afraid of the Dark [1991];[Coming of Age Movie]
Against the Wild [2014];[Coming of Age Movie]
Age of Summer [2018];[Coming of Age Movie]
Agnes Browne [1999];[Coming of Age Movie]
Agostino [1962];[Coming of Age Movie]
Äideistä parhain [2005];[Coming of Age Movie]
Air Bud [1997];[Coming of Age Movie]
Akeelah and the Bee [2006];[Coming of Age Movie]
Aksharaya [2005];[Coming of Age Movie]
Al Otro Lado [2005];[Coming of Age Movie]
Alabama Moon [2009];[Coming of Age Movie]
Alan & Naomi [1992];[Coming of Age Movie]
Alexander [2004];[Coming of Age Movie]
Alexander and the Terrible, Horrible, No Good, Very Bad Day [2014];[Coming of Age Movie]
All Dark Places [2011];[Coming of Age Movie]
All Good Children [2010];[Coming of Age Movie]
All My Loved Ones [1999];[Coming of Age Movie]
All Things Fair [1995];[Coming of Age Movie]
Alla Luce del Sole [2005];[Coming of Age Movie]
Allez, Eddy! [2012];[Coming of Age Movie]
Almost Famous [2000];[Coming of Age Movie]
Alone In The Wild: Deadly Survival [2014];[Coming of Age Movie]
Alone with Mr. Carter [2011];[Coming of Age Movie]
Along the Ridge [2006];[Coming of Age Movie]
Als der Weihnachtsmann vom Himmel fiel [2011];[Coming of Age Movie]
Amarcord [1973];[Coming of Age Movie]
American Graffiti [1973];[Coming of Age Movie]
American Honey [2016];[Coming of Age Movie]
American Pie [1999];[Coming of Age Movie]
Amy George [2011];[Coming of Age Movie]
An Edwardian Childhood [1975];[Coming of Age Movie]
Anche libero va bene [2006];[Coming of Age Movie]
Andre [1994];[Coming of Age Movie]
Angels Sing [2013];[Coming of Age Movie]
Angyali üdvözlet [1984];[Coming of Age Movie]
Annie [1982];[Coming of Age Movie]
Anoche soñé contigo [1992];[Coming of Age Movie]
Antboy [2013];[Coming of Age Movie]
Anton [1996];[Coming of Age Movie]
Aparajito [1956];[Coming of Age Movie]
Artificial Intelligence: AI [2001];[Coming of Age Movie]
Arturo's Island [1962];[Coming of Age Movie]
Árvácska [1976];[Coming of Age Movie]
Asylum [1972];[Coming of Age Movie]
At kende sandheden [2002];[Coming of Age Movie]
Ať zijí duchové [1977];[Coming of Age Movie]
ATL [2006];[Coming of Age Movie]
Atonement [2007];[Coming of Age Movie]
Au revoir les enfants [1987];[Coming of Age Movie]
August Rush [2007];[Coming of Age Movie]
Autumn Blood [2013];[Coming of Age Movie]
Babam Ve Oglum [2005];[Coming of Age Movie]
Bacheha-Ye aseman [1997];[Coming of Age Movie]
Bad Education [2004];[Coming of Age Movie]
Bad Hair [2013];[Coming of Age Movie]
Bad ma ra khahad bord [1999];[Coming of Age Movie]
Bad News Bears [2005];[Coming of Age Movie]
Bal na vodi [1985];[Coming of Age Movie]
Balcony [2008];[Coming of Age Movie]
Bale [2009];[Coming of Age Movie]
Balkonas [2008];[Coming of Age Movie]
Bande de filles [2014];[Coming of Age Movie]
Barnens ö [1980];[Coming of Age Movie]
Bastard [2011];[Coming of Age Movie]
Bastards [2006];[Coming of Age Movie]
Batterî [2007];[Coming of Age Movie]
Bear Cub [2004];[Coming of Age Movie]
Beat the Drum [2003];[Coming of Age Movie]
Beautiful Thing [1996];[Coming of Age Movie]
Becoming Redwood [2012];[Coming of Age Movie]
Beethoven's Nephew [1985];[Coming of Age Movie]
Before Sundown [2009];[Coming of Age Movie]
Behind the Sun [2001];[Coming of Age Movie]
Believe [2013];[Coming of Age Movie]
Belle and Sébastien [2013];[Coming of Age Movie]
Belle et Sébastien [2013];[Coming of Age Movie]
Benny's Gym [2007];[Coming of Age Movie]
Bennys Gym [2007];[Coming of Age Movie]
Beshkempir [1998];[Coming of Age Movie]
Beyond the Heavens [2013];[Coming of Age Movie]
Billy Elliot [2000];[Coming of Age Movie]
Birth [2004];[Coming of Age Movie]
Black Feet [1987];[Coming of Age Movie]
Black Peter [1964];[Coming of Age Movie]
Blackbird [1988];[Coming of Age Movie]
Blackbird [2012];[Coming of Age Movie]
Blame it on Fidel! [2006];[Coming of Age Movie]
Blauvogel [1979];[Coming of Age Movie]
Bless Me, Ultima [2013];[Coming of Age Movie]
Bless the Beasts & Children [1971];[Coming of Age Movie]
Blóðbönd [2006];[Coming of Age Movie]
Blöde Mütze! [2007];[Coming of Age Movie]
Blue Bird [1979];[Coming of Age Movie]
Blunderkind [2011];[Coming of Age Movie]
Bobby en de Geestenjagers [2013];[Coming of Age Movie]
Body Without Soul [1996];[Coming of Age Movie]
Bom Yeoreum Gaeul Gyeoul Geurigo Bom [2003];[Coming of Age Movie]
Bombi Bitt och jag [1968];[Coming of Age Movie]
Booksmart [2019];[Coming of Age Movie]
Born Into Brothels: Calcutta's Red Light Kids [2004];[Coming of Age Movie]
Boule & Bill [2013];[Coming of Age Movie]
Boyhood [2014];[Coming of Age Movie]
Boys [2014];[Coming of Age Movie]
Boys of Lost Island [1970];[Coming of Age Movie]
Brammetje Baas [2012];[Coming of Age Movie]
Breath [2007];[Coming of Age Movie]
Bridge to Terabithia [2007];[Coming of Age Movie]
Buenos Aires 100 kilómetros [2004];[Coming of Age Movie]
Buenos Aires 100 KM [2004];[Coming of Age Movie]
Buitenspel [2005];[Coming of Age Movie]
Burning Secret [1988];[Coming of Age Movie]
Bush Christmas [1947];[Coming of Age Movie]
Busters verden [1984];[Coming of Age Movie]
Butterfly AKA Butterfly Tongues [1999];[Coming of Age Movie]
C.R.A.Z.Y. [2005];[Coming of Age Movie]
C'est pas ma faute! [1999];[Coming of Age Movie]
C'est pas moi, je le jure! [2008];[Coming of Age Movie]
C'est pour la bonne cause! [1997];[Coming of Age Movie]
Cachorro [2004];[Coming of Age Movie]
Cadrage/débordement [2013];[Coming of Age Movie]
Café com Leite [2007];[Coming of Age Movie]
Call Me by Your Name [2017];[Coming of Age Movie]
Cameron's Closet [1988];[Coming of Age Movie]
Camp Nowhere [1994];[Coming of Age Movie]
Canvas [2006];[Coming of Age Movie]
Captain January [1936];[Coming of Age Movie]
Captain Johnno [1988];[Coming of Age Movie]
Captains Courageous [1937];[Coming of Age Movie]
Caravaggio [1986];[Coming of Age Movie]
Caravan [1999];[Coming of Age Movie]
Careful, He Might Hear You [1983];[Coming of Age Movie]
Carl Gustav, gjengen og parkeringsbandittene [1982];[Coming of Age Movie]
Carlitos and the Chance of a Lifetime [2008];[Coming of Age Movie]
Carlitos y el campo de los sueños [2008];[Coming of Age Movie]
Carmen & Babyface [1995];[Coming of Age Movie]
Carol's Journey [2002];[Coming of Age Movie]
Carrie's War [2004];[Coming of Age Movie]
Cartouches gauloises [2007];[Coming of Age Movie]
Casanova : His Youthful Years [1969];[Coming of Age Movie]
Casey's Shadow [1978];[Coming of Age Movie]
Cashback [2006];[Coming of Age Movie]
Casper [1995];[Coming of Age Movie]
Castelo Rá-Tim-Bum [1995];[Coming of Age Movie]
Catch That Kid [2004];[Coming of Age Movie]
Cavka [1988];[Coming of Age Movie]
Ce que savait Maisie [1995];[Coming of Age Movie]
Center of My World [2016];[Coming of Age Movie]
Central do Brasil [1998];[Coming of Age Movie]
Central Station [1998];[Coming of Age Movie]
Cerný Petr [1964];[Coming of Age Movie]
Certi bambini [2004];[Coming of Age Movie]
Cesta z mesta [2000];[Coming of Age Movie]
Chance [2009];[Coming of Age Movie]
Charlie Bartlett [2007];[Coming of Age Movie]
Charlie's Ghost Story [1995];[Coming of Age Movie]
Chasing the Dragon [1996];[Coming of Age Movie]
Cheesecake [2008];[Coming of Age Movie]
Chiisai tôbôsha [1966];[Coming of Age Movie]
Childhood Days [1990];[Coming of Age Movie]
Children in the Crossfire [1984];[Coming of Age Movie]
Children of Heaven [1997];[Coming of Age Movie]
Children on Their Birthdays [2002];[Coming of Age Movie]
Children's Island [1980];[Coming of Age Movie]
Chizkeik [2008];[Coming of Age Movie]
Chronicle of a Boy Alone [1965];[Coming of Age Movie]
Cidade de Deus [2002];[Coming of Age Movie]
Cider with Rosie [1971];[Coming of Age Movie]
Cilveka berns [1991];[Coming of Age Movie]
Cinema Paradiso [1988];[Coming of Age Movie]
Circle of Two [1980];[Coming of Age Movie]
Cirkus Ildebrand [1995];[Coming of Age Movie]
Ciske de Rat [1955];[Coming of Age Movie]
Ciske de Rat [1984];[Coming of Age Movie]
Ciske the Rat [1984];[Coming of Age Movie]
City of God [2002];[Coming of Age Movie]
Clandestine Childhood [2011];[Coming of Age Movie]
Class Trip [1998];[Coming of Age Movie]
Clay Farmers [1988];[Coming of Age Movie]
Clement [2001];[Coming of Age Movie]
Cloak & Dagger [1984];[Coming of Age Movie]
Close to Leo [2002];[Coming of Age Movie]
Clownhouse [1989];[Coming of Age Movie]
Club Sandwich [2013];[Coming of Age Movie]
Club sándwich [2013];[Coming of Age Movie]
Clueless [1995];[Coming of Age Movie]
Cobardes [2008];[Coming of Age Movie]
Come Along [2016];[Coming of Age Movie]
Come and See [1985];[Coming of Age Movie]
Come Into The Light [2005];[Coming of Age Movie]
Cooley High [1975];[Coming of Age Movie]
Cooper and the Castle Hills Gang [2011];[Coming of Age Movie]
Cornbread, Earl and Me [1975];[Coming of Age Movie]
Cotolay [1966];[Coming of Age Movie]
Count Me Out [1997];[Coming of Age Movie]
Cousins in Love [1980];[Coming of Age Movie]
Cowards [2008];[Coming of Age Movie]
Crazy [2000];[Coming of Age Movie]
Cría cuervos [1976];[Coming of Age Movie]
Cria! AKA Raise Ravens [1976];[Coming of Age Movie]
CrissCross [1992];[Coming of Age Movie]
Critter Gitters [1998];[Coming of Age Movie]
Crónica de un niño solo [1965];[Coming of Age Movie]
Crooklyn [1994];[Coming of Age Movie]
Cross My Heart and Hope to Die [1994];[Coming of Age Movie]
Crossroads [1986];[Coming of Age Movie]
Curly Sue [1991];[Coming of Age Movie]
Czarne stopy [1987];[Coming of Age Movie]
Da jeg traff Jesus... med sprettert [2000];[Coming of Age Movie]
Dare mo shiranai [2004];[Coming of Age Movie]
Dårfinkar & dönickar [1988];[Coming of Age Movie]
Dark Skies [2013];[Coming of Age Movie]
Das fliegende Klassenzimmer [1954];[Coming of Age Movie]
Das geheimnisvolle Wrack [1954];[Coming of Age Movie]
Das kleine Gespenst [2013];[Coming of Age Movie]
David & Kamal [2011];[Coming of Age Movie]
David Copperfield [1969];[Coming of Age Movie]
David Copperfield [1999];[Coming of Age Movie]
David Copperfield [2000];[Coming of Age Movie]
Days of Heaven [1978];[Coming of Age Movie]
Dazed and Confused [1993];[Coming of Age Movie]
De aanslag [1986];[Coming of Age Movie]
De Groeten van Mike! [2012];[Coming of Age Movie]
De jueves a domingo [2012];[Coming of Age Movie]
De rouille et d'os [2012];[Coming of Age Movie]
De sterkste man van Nederland [2011];[Coming of Age Movie]
De tøffeste gutta [2013];[Coming of Age Movie]
De vlinder tilt de kat op [1994];[Coming of Age Movie]
De wereld van Ludovic [1993];[Coming of Age Movie]
Dead Europe [2012];[Coming of Age Movie]
Dead Poets Society [1989];[Coming of Age Movie]
Dear Frankie [2004];[Coming of Age Movie]
Deep End [2011];[Coming of Age Movie]
Dek hor [2006];[Coming of Age Movie]
Demented [2006];[Coming of Age Movie]
Den bästa sommaren [2000];[Coming of Age Movie]
Den vita stenen [1973];[Coming of Age Movie]
Der kalte Himmel [2011];[Coming of Age Movie]
Des plumes dans la tête [2003];[Coming of Age Movie]
Detektiverne [2013];[Coming of Age Movie]
Deutschstunde [1971];[Coming of Age Movie]
Deux frères [2004];[Coming of Age Movie]
Diary of A Provincial Girl [2003];[Coming of Age Movie]
Diary of a Wimpy Kid: Dog Days [2012];[Coming of Age Movie]
Die Blechtrommel [1979];[Coming of Age Movie]
Die brennende Schnecke [1996];[Coming of Age Movie]
Die Kinder vom Napf [2011];[Coming of Age Movie]
Die kleine Lady [2012];[Coming of Age Movie]
Die Mitte der Welt [2016];[Coming of Age Movie]
Die schwarzen Brüder [2013];[Coming of Age Movie]
Digger [1993];[Coming of Age Movie]
Dix et demi [2010];[Coming of Age Movie]
Do You Remember Dolly Bell? [1981];[Coming of Age Movie]
Dog Days of Summer [2007];[Coming of Age Movie]
Dolfje Weerwolfje [2011];[Coming of Age Movie]
Dom za vesanje [1988];[Coming of Age Movie]
Dooman River [2010];[Coming of Age Movie]
Dorm [2006];[Coming of Age Movie]
Double Parked [2000];[Coming of Age Movie]
Dreaming About You [1992];[Coming of Age Movie]
Dreszcze [1981];[Coming of Age Movie]
Du er ikke alene [1978];[Coming of Age Movie]
Duck Season [2004];[Coming of Age Movie]
Ducoboo 2: Crazy Vacation [2012];[Coming of Age Movie]
E.T.: The Extra-Terrestrial [1982];[Coming of Age Movie]
Earth to Echo [2014];[Coming of Age Movie]
Easy A [2010];[Coming of Age Movie]
Echo [2007];[Coming of Age Movie]
Éclair au chocolat [1979];[Coming of Age Movie]
Edelweisspiraten [2004];[Coming of Age Movie]
Edges of the Lord [2001];[Coming of Age Movie]
Edward II [1991];[Coming of Age Movie]
Ein Leben lang kurze Hosen tragen [2002];[Coming of Age Movie]
Ein Sommer in den Bergen [2011];[Coming of Age Movie]
Eine Hand Voll Gras [2000];[Coming of Age Movie]
Ek Chhotisi Love Story [2002];[Coming of Age Movie]
