12 Angry Men [1997];Remake
12 razgnevannyh muzhchin [2007];Remake
12 [2007];Remake
13 Going on 30 [2004];Remake
13 Sins [2014];Remake
13 [2010];Remake
Thirteen [2010];Remake
2001 Maniacs [2005];Remake
3:10 to Yuma [2007];Remake
A Little Princess [1995];Remake
A Nightmare on Elm Street [2010];Remake
A Perfect Murder [1998];Remake
A Star Is Born [1954];Remake
A Streetcar Named Desire [1984];Remake
A Streetcar Named Desire [1995];Remake
After the Wedding [2019];Remake
Aladdin [2019];Remake
All the King's Men [2006];Remake
Always [1989];Remake
Angels in the Outfield [1994];Remake
Angst essen Seele auf [1974];Remake
Ali: Fear Eats the Soul [1974];Remake
Animal Farm [1999];Remake
Annie [2014];Remake
Assault on Precinct 13 [2005];Remake
Badi [1983];Remake
Bangkok Dangerous [2008];Remake
Beauty and the Beast [2017];Remake
Ben-Hur [1959];Remake
Billionaire Boys Club [2018];Remake
Billy the Kid [1941];Remake
Blind Date [2007];Remake
Blood Diner [1987];Remake
Blood Ties [2013];Remake
Brain Donors [1992];Remake
Breathless [1983];Remake
Brian's Song [2001];Remake
Brick Mansions [2014];Remake
Butch Cassidy and the Sundance Kid [1969];Remake
Cabin Fever [2016];Remake
Cape Fear [1991];Remake
Carrie [2002];Remake
Carrie [2013];Remake
Casino Royale [2006];Remake
Casshan [1993];Remake
Casshan: Robot Hunter [1993];Remake
Casshern [2004];Remake
Cat People [1982];Remake
Charlie and the Chocolate Factory [2005];Remake
Charlie's Angels [2019];Remake
Charlotte's Web [2006];Remake
Child's Play [2019];Remake
Cinderella [2015];Remake
City of Angels [1998];Remake
Clash of the Titans [2010];Remake
Cold Pursuit [2019];Remake
Compulsion [2013];Remake
Crackers [1984];Remake
Dark Water [2005];Remake
Dawn of the Dead [2004];Remake
De battre mon cœur s'est arrêté [2005];Remake
The Beat That My Heart Skipped [2005];Remake
Death Race [2008];Remake
Death Wish [2018];Remake
Detour [1992];Remake
Devilman: Crybaby [2018];Remake
Dirty Dancing [2017];Remake
Dirty Rotten Scoundrels [1988];Remake
Down [2001];Remake
The Shaft [2001];Remake
Down and Out in Beverly Hills [1986];Remake
Downhill [2020];Remake
Dr. Jekyll and Mr. Hyde [1941];Remake
Dr. Seuss' The Cat in the Hat [2003];Remake
Dracula [1992];Remake
Bram Stoker's Dracula [1992];Remake
Dumbo [2019];Remake
Dünyayi kurtaran adam [1982];Remake
Turkish Star Wars [1982];Remake
Enchanted April [1992];Remake
Flatliners [2017];Remake
Fled [1996];Remake
Flight of the Phoenix [2004];Remake
Flowers in the Attic [2014];Remake
Forbidden Fruit [1921];Remake
Frankenstein [1992];Remake
Freaky Friday [2003];Remake
Freaky Friday [2018];Remake
Friday the 13th [2009];Remake
Fun with Dick and Jane [2005];Remake
Funny Games [2007];Remake
Get Carter [2000];Remake
Ghost in the Shell [2017];Remake
Ghostbusters [2016];Remake
Gloria [1999];Remake
Going in Style [2017];Remake
Great Expectations [1998];Remake
Grey Gardens [2009];Remake
Griffin & Phoenix [2006];Remake
Hachi: A Dog's Tale [2009];Remake
Hairspray [2007];Remake
Halloween [2007];Remake
Hariken Porimâ [2017];Remake
Hurricane Polymar [2017];Remake
Heat [1995];Remake
Heaven Can Wait [1978];Remake
His Girl Friday [1940];Remake
Homeward Bound: The Incredible Journey [1993];Remake
House on Haunted Hill [1999];Remake
How the Grinch Stole Christmas [2000];Remake
Hurricane Polymar: Holy Blood [1996];Remake
Shin Hurricane Polymer [1996];Remake
Imitation of Life [1959];Remake
Inseparables [2016];Remake
Insomnia [2002];Remake
Interview [2007];Remake
Invasion of the Body Snatchers [1978];Remake
It Chapter Two [2019];Remake
It [2017];Remake
It's Alive [2008];Remake
Jûsan-nin no shikaku [2010];Remake
13 Assassins [2010];Remake
Kagerou Daze: In a Day's [2016];Remake
King Kong [2005];Remake
Kiss of Death [1995];Remake
Kite [2014];Remake
Knock Out [2010];Remake
Lady and the Tramp [2019];Remake
Last Man Standing [1996];Remake
Let Me In [2010];Remake
Letter from an Unknown Woman [1948];Remake
Little Shop of Horrors [1986];Remake
Lolita [1997];Remake
Magnificent Obsession [1954];Remake
Man on the Train [2011];Remake
Martyrs [2015];Remake
Mary Poppins Returns [2018];Remake
Mr. Deeds [2002];Remake
My Bloody Valentine [2009];Remake
My Sassy Girl [2008];Remake
Naked [2017];Remake
Narrow Margin [1990];Remake
Nendo no Tatakai [2019];Remake
Battle of Clay [2019];Remake
Nightwatch [1997];Remake
No Way Out [1987];Remake
Nosferatu the Vampyre [1979];Remake
Nosferatu: Phantom der Nacht [1979];Remake
Nosferatu: Phantom of the Night [1979];Remake
Ocean's Eleven [2001];Remake
Ohayô [1959];Remake
Good Morning [1959];Remake
Oldboy [2013];Remake
Oliver Twist [2005];Remake
One Missed Call [2008];Remake
Orphans of the Storm [1921];Remake
Outrage [1998];Remake
Overboard [2018];Remake
Pale Rider [1985];Remake
Papillon [2017];Remake
Patrick [2013];Remake
Per un pugno di dollari [1964];Remake
A Fistful of Dollars [1964];Remake
Pet Sematary [2019];Remake
Pete's Dragon [2016];Remake
Peter Pan [2003];Remake
Piranha [2010];Remake
Piranha 3D [2010];Remake
Planet of the Apes [2001];Remake
Point Break [2015];Remake
Point of No Return [1993];Remake
The Assassin [1993];Remake
Poltergeist [2015];Remake
Prince Avalanche [2013];Remake
Prom Night [2008];Remake
Psycho [1998];Remake
Pulse [2006];Remake
Pure Luck [1991];Remake
Quarantine [2008];Remake
Rabid [2019];Remake
Ransom [1996];Remake
Rear Window [1998];Remake
Red River [1988];Remake
Return to Paradise [1998];Remake
Rich and Famous [1981];Remake
Rio Lobo [1970];Remake
RoboCop [2014];Remake
Sabrina [1995];Remake
Scarface [1983];Remake
Scent of a Woman [1992];Remake
School for Scoundrels [2006];Remake
Secret in Their Eyes [2015];Remake
Shaft [2000];Remake
Shaft [2019];Remake
Shutter [2008];Remake
Sisters [2006];Remake
Sleepless [2017];Remake
Solaris [2002];Remake
Some Like It Hot [1959];Remake
Sorcerer [1977];Remake
Straw Dogs [2011];Remake
Superfly [2018];Remake
Suspiria [2018];Remake
Sweeney Todd: The Demon Barber of Fleet Street [2007];Remake
Swept Away [2002];Remake
Taigâ masuku [2013];Remake
The Tiger Mask [2013];Remake
The 13th Letter [1951];Remake
The Amityville Horror [2005];Remake
The Big Bounce [2004];Remake
The Birdcage [1996];Remake
The Blue Lagoon [1980];Remake
The Cabinet of Dr. Caligari [2005];Remake
The Call of the Wild [2020];Remake
The Cape Town Affair [1967];Remake
The Count of Monte Cristo [2002];Remake
The Crazies [2010];Remake
The Day the Earth Stood Still [2008];Remake
The Defiant Ones [1986];Remake
The Departed [2006];Remake
The Experiment [2010];Remake
The Eye [2008];Remake
The Fly [1986];Remake
The Front Page [1974];Remake
The Gambler [2014];Remake
The Good Thief [2002];Remake
The Grudge 2 [2006];Remake
The Grudge [2004];Remake
The Grudge [2020];Remake
The Haunting [1999];Remake
The Hills Have Eyes [2006];Remake
The Hustle [2019];Remake
The In-Laws [2003];Remake
The Invisible Man [2020];Remake
The Invisible [2007];Remake
The Italian Job [2003];Remake
The Jungle Book [2016];Remake
The Lady Vanishes [1979];Remake
The Lady Vanishes [2013];Remake
The Ladykillers [2004];Remake
The Lake House [2006];Remake
The Last House on the Left [2009];Remake
The Last Kiss [2006];Remake
The Lion King [2019];Remake
The Loft [2014];Remake
The Magnificent Seven [1960];Remake
The Magnificent Seven [2016];Remake
The Man Who Knew Too Much [1956];Remake
The Manchurian Candidate [2004];Remake
The Mechanic [2011];Remake
The Next Three Days [2010];Remake
The Omen [2006];Remake
The Operation [1990];Remake
Bodily Harm [1990];Remake
The Parent Trap [1998];Remake
The Philadelphia Experiment [2012];Remake
The Prisoner [2009];Remake
The Ring Two [2005];Remake
The Ring [2002];Remake
The Stepford Wives [2004];Remake
The Swan [1956];Remake
The Taking of Pelham One Two Three [1998];Remake
The Ten Commandments [1956];Remake
The Texas Chainsaw Massacre [2003];Remake
The Thing [1982];Remake
The Thomas Crown Affair [1999];Remake
The Twelve Chairs [1970];Remake
The Uninvited [2009];Remake
The Upside [2017];Remake
The Vanishing [1993];Remake
The War of the Worlds [2019];Remake
The Wolfman [2010];Remake
Thir13en Ghosts [2001];Remake
13 Ghosts [2001];Remake
Three Men and a Baby [1987];Remake
Total Recall [2012];Remake
Toy Story 3 IRL [2020];Remake
Toy Story 3 In Real Life [2020];Remake
True Grit [2010];Remake
Twelve Monkeys [1995];Remake
12 Monkeys [1995];Remake
Two Men in Town [2014];Remake
Ukikusa [1959];Remake
Floating Weeds [1959];Remake
Ultraviolet [2006];Remake
Vampyres [2015];Remake
Vanilla Sky [2001];Remake
Victor Victoria [1982];Remake
War of the Worlds [2005];Remake
We Are What We Are [2013];Remake
When a Stranger Calls [2006];Remake
Wicker Park [2004];Remake
Willard [2003];Remake
Winchester 73 [1967];Remake
Xiao cheng zhi chun [2002];Remake
Springtime in a Small Town [2002];Remake
Zatôichi [2003];Remake
The Blind Swordsman: Zatoichi [2003];Remake
