Gulliver's Travels [2010];Adventure/
The X Files [1998];Drama/
All-Star Superman [2011];Animation/Based On/Comics/DC/
Batman & Mr. Freeze: SubZero [1998];Animation/Based On/Comics/DC/
Batman and Harley Quinn [2017];Animation/Based On/Comics/DC/
Batman Beyond: Return of the Joker [2000];Animation/Based On/Comics/DC/
Batman Ninja [2018];Animation/Based On/Comics/DC/
Batman Unlimited: Animal Instincts [2015];Animation/Based On/Comics/DC/
Batman Unlimited: Mech vs. Mutants [2016];Animation/Based On/Comics/DC/
Batman Unlimited: Monster Mayhem [2015];Animation/Based On/Comics/DC/
Batman vs. Robin [2015];Animation/Based On/Comics/DC/
Batman vs. Teenage Mutant Ninja Turtles [2019];Animation/Based On/Comics/DC/
Batman vs. Two-Face [2017];Animation/Based On/Comics/DC/
Batman: Assault on Arkham [2014];Animation/Based On/Comics/DC/
Batman: Bad Blood [2016];Animation/Based On/Comics/DC/
Batman: Gotham by Gaslight [2018];Animation/Based On/Comics/DC/
Batman: Gotham Knight [2008];Animation/Based On/Comics/DC/
Batman: Hush [2019];Animation/Based On/Comics/DC/
Batman: Mask of the Phantasm [1993];Animation/Based On/Comics/DC/
Batman: Mystery of the Batwoman [2003];Animation/Based On/Comics/DC/
Batman: Return of the Caped Crusaders [2016];Animation/Based On/Comics/DC/
Batman: The Dark Knight Returns, Part 1 [2012];Animation/Based On/Comics/DC/
Batman: The Dark Knight Returns, Part 2 [2013];Animation/Based On/Comics/DC/
Batman: The Killing Joke [2016];Animation/Based On/Comics/DC/
Batman: Under the Red Hood [2010];Animation/Based On/Comics/DC/
Batman: Year One [2011];Animation/Based On/Comics/DC/
Billion Dollar Limited [1942];Animation/Based On/Comics/DC/
Chase Me [2003];Animation/Based On/Comics/DC/
Constantine City of Demons: The Movie [2018];Animation/Based On/Comics/DC/
DC Showcase: Catwoman [2011];Animation/Based On/Comics/DC/
DC Showcase: Green Arrow [2010];Animation/Based On/Comics/DC/
DC Showcase: Jonah Hex [2010];Animation/Based On/Comics/DC/
DC Showcase: Superman/Shazam!: The Return of Black Adam [2010];Animation/Based On/Comics/DC/
DC Showcase: The Spectre [2010];Animation/Based On/Comics/DC/
DC Super Hero Girls: Hero of the Year [2016];Animation/Based On/Comics/DC/
DC Super Hero Girls: Intergalactic Games [2017];Animation/Based On/Comics/DC/
DC Super Hero Girls: Legends of Atlantis [2018];Animation/Based On/Comics/DC/
Destruction Inc. [1942];Animation/Based On/Comics/DC/
Electric Earthquake [1942];Animation/Based On/Comics/DC/
Eleventh Hour [1942];Animation/Based On/Comics/DC/
Freedom Fighters - The Ray [2018];Animation/Based On/Comics/DC/
Gen 13 [1999];Animation/Based On/Comics/DC/
Green Lantern: Emerald Knights [2011];Animation/Based On/Comics/DC/
Green Lantern: First Flight [2009];Animation/Based On/Comics/DC/
Japoteurs [1942];Animation/Based On/Comics/DC/
JLA Adventures: Trapped in Time [2014];Animation/Based On/Comics/DC/
Jungle Drums [1943];Animation/Based On/Comics/DC/
Justice League Dark [2017];Animation/Based On/Comics/DC/
Justice League Dark: Apokolips War [2020];Animation/Based On/Comics/DC/
Justice League vs. Teen Titans [2016];Animation/Based On/Comics/DC/
Justice League vs. the Fatal Five [2019];Animation/Based On/Comics/DC/
Justice League: Crisis on Two Earths [2010];Animation/Based On/Comics/DC/
Justice League: Doom [2012];Animation/Based On/Comics/DC/
Justice League: Gods and Monsters [2015];Animation/Based On/Comics/DC/
