-= Banned Movies =-;
The Save the Children Fund Film [1971];[Banned in The UK]
A Clockwork Orange [1971];[Banned in The UK]
Battleship Potemkin [1925];[Banned in The UK]
Bronenosets Potyomkin [1925];[Banned in The UK]
Cocksucker Blues [1972];[Banned in The UK]
Die Blechtrommel [1979];[Banned in The US]
The Tin Drum [1979];[Banned in The US]
Faces of Death [1978];[Banned in The US]
Frankenstein [1931];[Banned in The US]
Freaks [1932];[Banned in The UK]
Freaks [1932];[Banned in The US]
Glen or Glenda [1953];[Banned in The UK]
Gurotesuku [2009];[Banned in The UK]
Grotesque [2009];[Banned in The UK]
Il paese del sesso selvaggio [1972];[Banned in The UK]
Sacrifice! [1972];[Banned in The UK]
Man from Deep River [1972];[Banned in The UK]
Island of Lost Souls [1932];[Banned in The UK]
La maschera del demonio [1960];[Banned in The UK]
Black Sunday [1960];[Banned in The UK]
Leatherface: Texas Chainsaw Massacre III [1990];[Banned in The UK]
Maîtresse [1975];[Banned in The UK]
Mistress [1975];[Banned in The UK]
Mikey [1992];[Banned in The UK]
Reservoir Dogs [1992];[Banned in The UK]
Salt of the Earth [1954];[Banned in The US]
Scarface [1932];[Banned in The US]
The Birth of a Nation [1915];[Banned in The US]
The Evil Dead [1981];[Banned in The UK]
The Exorcist [1973];[Banned in The UK]
The Human Centipede II (Full Sequence) [2011];[Banned in The UK]
The Last House on the Left [1972];[Banned in The UK]
The Life Story of David Lloyd George [1918];[Banned in The UK]
The Texas Chain Saw Massacre [1974];[Banned in The UK]
The Trip [1967];[Banned in The UK]
The Wild One [1953];[Banned in The UK]
Titicut Follies [1967];[Banned in The US]
Virus [1980];[Banned in The UK]
Zombie Creeping [1980];[Banned in The UK]
Hell of the Living Dead [1980];[Banned in The UK]
Visions of Ecstasy [1989];[Banned in The UK]
Within Our Gates [1920];[Banned in The US]
