-= ABC Family Movies =-;
Lovestruck: The Musical [2013];ABC Family Movies]/
Home Alone: The Holiday Heist [2012];ABC Family Movies]/
12 Dates of Christmas [2011];ABC Family Movies]/
Desperately Seeking Santa [2011];ABC Family Movies]/
Teen Spirit [2011];ABC Family Movies]/
Cyberbully [2011];ABC Family Movies]/
My Future Boyfriend [2011];ABC Family Movies]/
Mean Girls 2 [2011];ABC Family Movies]/
Christmas Cupid [2010];ABC Family Movies]/
The Dog Who Saved Christmas Vacation [2010];ABC Family Movies]/
Revenge of the Bridesmaids [2010];ABC Family Movies]/
Beauty & the Briefcase [2010];ABC Family Movies]/
The Cutting Edge: Fire & Ice [2010];ABC Family Movies]/
Santa Baby 2: Christmas Maybe [2009];ABC Family Movies]/
The Dog Who Saved Christmas [2009];ABC Family Movies]/
Labor Pains [2009];ABC Family Movies]/
My Fake Fiance [2009];ABC Family Movies]/
Au Pair 3: Adventure in Paradise [2009];ABC Family Movies]/
Christmas Bounty [2013];ABC Family Movies]/
Snow 2: Brain Freeze [2008];ABC Family Movies]/
Samurai Girl [2008];ABC Family Movies]/
Picture This [2008];ABC Family Movies]/
The Circuit [2008];ABC Family Movies]/
Princess [2008];ABC Family Movies]/
The Cutting Edge 3: Chasing the Dream [2008];ABC Family Movies]/
Snowglobe [2007];ABC Family Movies]/
Christmas Caper [2007];ABC Family Movies]/
Nature of the Beast [2007];ABC Family Movies]/
Full of It [2007];ABC Family Movies]/
The Dukes of Hazzard: The Beginning [2007];ABC Family Movies]/
Love Wrecked [2005];ABC Family Movies]/
Christmas Do-Over [2006];ABC Family Movies]/
Santa Baby [2006];ABC Family Movies]/
The Initiation of Sarah [2006];ABC Family Movies]/
Fallen [2006];ABC Family Movies]/
The Cutting Edge: Going for the Gold [2006];ABC Family Movies]/
If Only [2004];ABC Family Movies]/
Christmas in Boston [2005];ABC Family Movies]/
Chasing Christmas [2005];ABC Family Movies]/
Campus Confidential [2005];ABC Family Movies]/
