Artist;Genre
Chips;A Cappella: Alternative Rock
Duke University Pitchforks;A Cappella: Alternative Rock
Elizabethtown College Phalanx;A Cappella: Alternative Rock
Off the Beat (U Penn);A Cappella: Alternative Rock
Off The Beat (U Penn);A Cappella: Alternative Rock
Penny Loafers (U Penn);A Cappella: Alternative Rock
Peter J. Wilhousky;A Cappella: Alternative Rock
Phantoms;A Cappella: Alternative Rock
The Acafellas;A Cappella: Alternative Rock
The Brown Derbies;A Cappella: Alternative Rock
The Flying Pickets;A Cappella: Alternative Rock
The Virginia Gentlemen;A Cappella: Alternative Rock
Tufts University Beelzebubs;A Cappella: Alternative Rock
University Of Virginia Academical Village People;A Cappella: Alternative Rock
Unknown Artist;A Cappella: Alternative Rock
College A Cappella;A Cappella: Classic Rock
The Gentlemen Of The College;A Cappella: Classic Rock
University Of California Berkeley Men's Octet;A Cappella: Classic Rock
University Of Rochester Yellowjackets;A Cappella: Classic Rock
Dion;A Cappella: Doo-Wop
The Spaniels;A Cappella: Doo-Wop
Acappella;A Cappella: Gospel
Cornell University Hangovers;A Cappella: Pop
Margie Gibson;A Cappella: Pop
Pentatonix;A Cappella: Pop
Princeton University Tigertones;A Cappella: Pop
Rockapella;A Cappella: Pop
Stanford University Counterpoint;A Cappella: Pop
The Fleetwoods;A Cappella: Pop
The Nylons;A Cappella: Pop
The Swingle Singers;A Cappella: Pop
University Of California, Los Angeles Awaken A Cappella;A Cappella: Pop
University Of Illinois Other Guys;A Cappella: Pop
University Of Maryland Generics;A Cappella: Pop
Skidmore Bandersnatchers;A Cappella: Pop Rock
University Of Virginia Hullabahoos;A Cappella: Pop Rock
Schrödinger's Cat;A Cappella: R&B
Big Mountain;A Cappella: Reggae
Kelly Howell;Brain-Sync
Lucid Dreaming;Brain-Sync
Beethoven;Classical
Cesare Cantieri, Orchester Der Wiener Volksoper;Classical
Dmitri Dmitrievich Shostakovich;Classical
Fryderyk Chopin;Classical
Johann Sebastian Bach;Classical
Ludwig Van Beethoven;Classical
The Classic Rock String Quartet;Classical
The Hit Crew;Classical
