Artist;Grouping;Genre
Chips;A Cappella;A Cappella: Alternative Rock
Duke University Pitchforks;A Cappella;A Cappella: Alternative Rock
Elizabethtown College Phalanx;A Cappella;A Cappella: Alternative Rock
Off the Beat (U Penn);A Cappella;A Cappella: Alternative Rock
Off The Beat (U Penn);A Cappella;A Cappella: Alternative Rock
Penny Loafers (U Penn);A Cappella;A Cappella: Alternative Rock
Peter J. Wilhousky;A Cappella;A Cappella: Alternative Rock
Phantoms;A Cappella;A Cappella: Alternative Rock
The Acafellas;A Cappella;A Cappella: Alternative Rock
The Brown Derbies;A Cappella;A Cappella: Alternative Rock
The Flying Pickets;A Cappella;A Cappella: Alternative Rock
The Virginia Gentlemen;A Cappella;A Cappella: Alternative Rock
Tufts University Beelzebubs;A Cappella;A Cappella: Alternative Rock
University Of Virginia Academical Village People;A Cappella;A Cappella: Alternative Rock
Unknown Artist;A Cappella;A Cappella: Alternative Rock
College A Cappella;A Cappella;A Cappella: Classic Rock
The Gentlemen Of The College;A Cappella;A Cappella: Classic Rock
University Of California Berkeley Men's Octet;A Cappella;A Cappella: Classic Rock
University Of Rochester Yellowjackets;A Cappella;A Cappella: Classic Rock
Dion;A Cappella;A Cappella: Doo-Wop
The Spaniels;A Cappella;A Cappella: Doo-Wop
Acappella;A Cappella;A Cappella: Gospel
Cornell University Hangovers;A Cappella;A Cappella: Pop
Margie Gibson;A Cappella;A Cappella: Pop
Pentatonix;A Cappella;A Cappella: Pop
Princeton University Tigertones;A Cappella;A Cappella: Pop
Rockapella;A Cappella;A Cappella: Pop
Stanford University Counterpoint;A Cappella;A Cappella: Pop
The Fleetwoods;A Cappella;A Cappella: Pop
The Nylons;A Cappella;A Cappella: Pop
The Swingle Singers;A Cappella;A Cappella: Pop
University Of California, Los Angeles Awaken A Cappella;A Cappella;A Cappella: Pop
University Of Illinois Other Guys;A Cappella;A Cappella: Pop
University Of Maryland Generics;A Cappella;A Cappella: Pop
Unknown;A Cappella;A Cappella: Pop
Skidmore Bandersnatchers;A Cappella;A Cappella: Pop Rock
University Of Virginia Hullabahoos;A Cappella;A Cappella: Pop Rock
Schrödinger's Cat;A Cappella;A Cappella: R&B
Big Mountain;A Cappella;A Cappella: Reggae
Kelly Howell;BrainWave;Brain-Sync
Lucid Dreaming;BrainWave;Brain-Sync
Beethoven;Classical;Classical
Cesare Cantieri, Orchester Der Wiener Volksoper;Classical;Classical
Dmitri Dmitrievich Shostakovich;Classical;Classical
Fryderyk Chopin;Classical;Classical
Johann Sebastian Bach;Classical;Classical
Ludwig Van Beethoven;Classical;Classical
The Classic Rock String Quartet;Classical;Classical
The Hit Crew;Classical;Classical
Wolfgang Amadeus Mozart;Classical;Classical
Edvard Grieg;Classical;Composers
Modest Mussorgsky;Classical;Composers
Marco Beltrami;Classical;Instrumental
Charlotte Church;Classical;Classical Opera
Yoko Shimomura;Classical;Classical Piano
A&E Biography;Comedy;Comedy [Skit]
Bill & Monica;Comedy;Comedy [Skit]
Bob & Tom;Comedy;Comedy [Skit]
Bob Zany;Comedy;Comedy [Skit]
Bud Light;Comedy;Comedy [Skit]
Dan Greuter;Comedy;Comedy [Skit]
Dan St. Paul;Comedy;Comedy [Skit]
Dean & Jerry;Comedy;Comedy [Skit]
Dick & Hadji;Comedy;Comedy [Skit]
Duke Tumatoe & Sam Kinison;Comedy;Comedy [Skit]
Duke Tumatoe & The Power Trio;Comedy;Comedy [Skit]
Geechy Guy;Comedy;Comedy [Skit]
Heywood Banks;Comedy;Comedy [Skit]
Joel Lindley;Comedy;Comedy [Skit]
John Wing;Comedy;Comedy [Skit]
Larry King;Comedy;Comedy [Skit]
Larry Reeb;Comedy;Comedy [Skit]
Lloyd & Floyd;Comedy;Comedy [Skit]
Marc Maron;Comedy;Comedy [Skit]
Matt Weinhold;Comedy;Comedy [Skit]
Mr. Obvious;Comedy;Comedy [Skit]
Paul Gilmartin;Comedy;Comedy [Skit]
Pete Stacker & David Bickler;Comedy;Comedy [Skit]
Ric Schrader;Comedy;Comedy [Skit]
Rodney Carrington;Comedy;Comedy [Skit]
Sean Morey;Comedy;Comedy [Skit]
Sid & Hadji;Comedy;Comedy [Skit]
Sid And Bart;Comedy;Comedy [Skit]
The Chick McGee Experience;Comedy;Comedy [Skit]
The Electric Amish;Comedy;Comedy [Skit]
The Love Brothers;Comedy;Comedy [Skit]
The Mad Armenians;Comedy;Comedy [Skit]
Tim Cavanagh;Comedy;Comedy [Skit]
Tim Wilson;Comedy;Comedy [Skit]
Todd Yohn;Comedy;Comedy [Skit]
Wild Bill Bauer;Comedy;Comedy [Skit]
Joe Meek;Comedy;Comedy: [Answering Machine Message]
Roy D. Mercer;Comedy;Comedy: [Answering Machine Message]
Elmo & Patsy;Comedy;Comedy: [Country]
Adam Sandler;Comedy;Comedy: [Music]
Barnes & Barnes;Comedy;Comedy: [Music]
Barry Martin;Comedy;Comedy: [Music]
Bentframe;Comedy;Comedy: [Music]
Bob Kevoian;Comedy;Comedy: [Music]
Bob Rivers;Comedy;Comedy: [Music]
Bowser And Blue;Comedy;Comedy: [Music]
Brian Haner;Comedy;Comedy: [Music]
Camp Chaos;Comedy;Comedy: [Music]
CampChaos;Comedy;Comedy: [Music]
Capitol Steps;Comedy;Comedy: [Music]
Clint;Comedy;Comedy: [Music]
Da Yoopers;Comedy;Comedy: [Music]
David Crowe;Comedy;Comedy: [Music]
David Seville;Comedy;Comedy: [Music]
Dr. Tom Whiskey;Comedy;Comedy: [Music]
DVDA;Comedy;Comedy: [Music]
Frank Gallop;Comedy;Comedy: [Music]
Frank Zappa;Comedy;Comedy: [Music]
Fred 'August' Campbell & The Spur Of The Moment Band;Comedy;Comedy: [Music]
Freddie Blassie;Comedy;Comedy: [Music]
Homer & Jethro;Comedy;Comedy: [Music]
Ill-Eagles;Comedy;Comedy: [Music]
James & Kling;Comedy;Comedy: [Music]
Jeff Dunham;Comedy;Comedy: [Music]
Jeff Rothpan;Comedy;Comedy: [Music]
Jim Breuer;Comedy;Comedy: [Music]
John Fox;Comedy;Comedy: [Music]
John Valby;Comedy;Comedy: [Music]
Jump 'N The Saddle Band;Comedy;Comedy: [Music]
LaBeatos;Comedy;Comedy: [Music]
Larry Groce;Comedy;Comedy: [Music]
Lord Carrett;Comedy;Comedy: [Music]
Mike Stein;Comedy;Comedy: [Music]
Monty Python;Comedy;Comedy: [Music]
Napoleon XIV;Comedy;Comedy: [Music]
Ned And Manson;Comedy;Comedy: [Music]
Nervous Norvus;Comedy;Comedy: [Music]
Ozzy Fudd;Comedy;Comedy: [Music]
Pig Vomit;Comedy;Comedy: [Music]
Rocky LaPorte;Comedy;Comedy: [Music]
Rose & The Arrangement;Comedy;Comedy: [Music]
Rusty Humphries And The Boneheads;Comedy;Comedy: [Music]
Sarah Silverman;Comedy;Comedy: [Music]
Shel Silverstein;Comedy;Comedy: [Music]
Steve Martin & The Toot Uncommons;Comedy;Comedy: [Music]
Technohippies;Comedy;Comedy: [Music]
Ted Leo & the Pharmacists;Comedy;Comedy: [Music]
The Buoys;Comedy;Comedy: [Music]
The Firm;Comedy;Comedy: [Music]
The Frantics;Comedy;Comedy: [Music]
The Lonely Island;Comedy;Comedy: [Music]
The Playmates;Comedy;Comedy: [Music]
The Singing Dogs;Comedy;Comedy: [Music]
The Trashmen;Comedy;Comedy: [Music]
Tom "T-Bone" Stankus;Comedy;Comedy: [Music]
Tom Lehrer;Comedy;Comedy: [Music]
Triumph The Insult Comic Dog;Comedy;Comedy: [Music]
Weird Al Yankovic;Comedy;Comedy: [Music]
Zach Galifianakis;Comedy;Comedy: [Music]
Cledus T. Judd;Comedy;Comedy: [Music] [Country]
Jimmy Kimmel;Comedy;Comedy: [Parody]
Jim Florentine;Comedy;Comedy: [Prank Phone Calls]
The Jerky Boys;Comedy;Comedy: [Prank Phone Calls]
Psycho Dani Willis;Comedy;Comedy: [Psycho Voice Mails]
Bud Light Presents (Pete Stacker & David Bickler);Comedy;Comedy: [Radio Commercials]
Frank & Louie;Comedy;Comedy: [Radio Commercials]
Comedy;Comedy;Comedy: [Skit]
Dwight York;Comedy;Comedy: [Skit]
Evan Davis;Comedy;Comedy: [Skit]
Howard Stern;Comedy;Comedy: [Skit]
Lamont & Tonelli;Comedy;Comedy: [Skit]
Tommy & Rumble;Comedy;Comedy: [Skit]
Bubba The Love Sponge;Comedy;Comedy: [Spoken]
Cheech & Chong;Comedy;Comedy: [Spoken]
Drew Carey;Comedy;Comedy: [Spoken]
